Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	
phosphorylated carbohydrate dephosphorylation (GO:0046838)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	IMPA1	
positive regulation by host of viral process (GO:0044794)	11-Jan	0.039434695	0.152700465	0	0	27.6625	89.43588521	CFL1	
positive regulation of endothelial cell migration (GO:0010595)	2/86	0.039445926	0.152700465	0	0	6.654258887	21.51205126	TMSB4X;HMGB1	
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	2/89	0.041970122	0.153571196	0	0	6.423830338	20.36866391	PDCD5;HMGB1	
positive regulation of binding (GO:0051099)	2/90	0.042824755	0.153571196	0	0	6.350512164	20.00817098	HMGB1;RAN	
negative regulation of translation (GO:0017148)	2/90	0.042824755	0.153571196	0	0	6.350512164	20.00817098	ILF3;YTHDF2	
negative regulation of cardiac muscle hypertrophy (GO:0010614)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	LMNA	
regulation of alcohol biosynthetic process (GO:1902930)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	RAN	
negative regulation of hemostasis (GO:1900047)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	KNG1	
"regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)"	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	HMGB1	
Golgi localization (GO:0051645)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	ARCN1	
regulation of dendritic cell differentiation (GO:2001198)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	HMGB1	
inositol phosphate catabolic process (GO:0071545)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	IMPA1	
synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	STX1A	
dermatan sulfate biosynthetic process (GO:0030208)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	CSPG4	
modulation by host of viral process (GO:0044788)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	CFL1	
dosage compensation by inactivation of X chromosome (GO:0009048)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	HNRNPU	
double-strand break repair via break-induced replication (GO:0000727)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	MCM6	
mRNA transcription (GO:0009299)	12-Jan	0.042942678	0.153571196	0	0	25.14646465	79.15828252	DDX5	
negative regulation of cellular protein metabolic process (GO:0032269)	2/94	0.046307923	0.153634172	0	0	6.0731782	18.65948901	ILF3;KNG1	
establishment of protein localization to chromosome (GO:0070199)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	RUVBL2	
"negative regulation of CD4-positive, alpha-beta T cell activation (GO:2000515)"	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	HMGB1	
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	STX1A	
purine ribonucleoside triphosphate metabolic process (GO:0009205)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	RAN	
positive regulation of cell aging (GO:0090343)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	LMNA	
regulation of cell aging (GO:0090342)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	LMNA	
regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000341)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	HMGB1	
ribosomal subunit export from nucleus (GO:0000054)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	RAN	
positive regulation of mRNA metabolic process (GO:1903313)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	KHSRP	
positive regulation of purine nucleotide biosynthetic process (GO:1900373)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	TMSB4X	
chondroitin sulfate catabolic process (GO:0030207)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	CSPG4	
dermatan sulfate metabolic process (GO:0030205)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	CSPG4	
positive regulation of vascular endothelial cell proliferation (GO:1905564)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	HMGB1	
pre-mRNA cleavage required for polyadenylation (GO:0098789)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	CPSF7	
protein heterotetramerization (GO:0051290)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	CPSF7	
negative regulation of adenylate cyclase activity (GO:0007194)	13-Jan	0.046438025	0.153634172	0	0	23.04976852	70.75441406	PALM	
"transcription, DNA-templated (GO:0006351)"	3/221	0.047101468	0.155145625	0	0	3.874639581	11.8387718	DDX5;PPP5C;RBMX	
glycosaminoglycan biosynthetic process (GO:0006024)	2/97	0.048986572	0.156864046	0	0	5.880504077	17.73682968	CSPG4;AGRN	
double-strand break repair via homologous recombination (GO:0000724)	2/97	0.048986572	0.156864046	0	0	5.880504077	17.73682968	SFPQ;MCM6	
positive regulation of brown fat cell differentiation (GO:0090336)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	HNRNPU	
negative regulation of coagulation (GO:0050819)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	KNG1	
negative regulation of cyclase activity (GO:0031280)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	PALM	
regulation of chromatin organization (GO:1902275)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	HNRNPU	
T-helper cell differentiation (GO:0042093)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	HMGB1	
cytoplasmic sequestering of transcription factor (GO:0042994)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	TMSB4X	
peptidyl-serine dephosphorylation (GO:0070262)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	PPP5C	
mRNA cleavage involved in mRNA processing (GO:0098787)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	CPSF7	
myeloid dendritic cell activation (GO:0001773)	14-Jan	0.049920782	0.156864046	0	0	21.27564103	63.76985959	HMGB1	
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	2/99	0.050803055	0.158971225	0	0	5.758675766	17.15969511	SRSF1;SRSF9	
positive regulation of translation (GO:0045727)	2/100	0.051720345	0.159303633	0	0	5.699626329	16.8817463	YTHDF2;HNRNPD	
establishment of spindle localization (GO:0051293)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	CFL1	
"positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)"	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	DDX5	
positive regulation of double-strand break repair via homologous recombination (GO:1905168)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	FUS	
positive regulation of endothelial cell chemotaxis (GO:2001028)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	TMSB4X	
GTP metabolic process (GO:0046039)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	RAN	
histone H3 deacetylation (GO:0070932)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	SFPQ	
regulation of endothelial cell chemotaxis (GO:2001026)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	TMSB4X	
positive regulation of telomerase RNA localization to Cajal body (GO:1904874)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	RUVBL2	
"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)"	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	RTCB	
dermatan sulfate proteoglycan biosynthetic process (GO:0050651)	15-Jan	0.053390992	0.159303633	0	0	19.75496032	57.8842708	CSPG4	
chromatin remodeling (GO:0006338)	2/103	0.054507759	0.159303633	0	0	5.529493794	16.08757686	RUVBL2;HNRNPC	
regulation of transcription by RNA polymerase II (GO:0006357)	13/2206	0.054806794	0.159303633	0	0	1.752105183	5.088010288	DDX17;TCERG1;DDX5;FUS;HMGB3;HNRNPU;HMGB1;SFPQ;HNRNPK;RUVBL2;PKN1;AGRN;RBMX	
mRNA transport (GO:0051028)	2/104	0.055448563	0.159303633	0	0	5.475006904	15.83535959	SRSF1;SRSF9	
3'-UTR-mediated mRNA destabilization (GO:0061158)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	KHSRP	
regulation of rRNA processing (GO:2000232)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	YTHDF2	
apoptotic DNA fragmentation (GO:0006309)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	HMGB1	
regulation of ATP biosynthetic process (GO:2001169)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	TMSB4X	
negative regulation of lyase activity (GO:0051350)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	PALM	
histone H2A acetylation (GO:0043968)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	RUVBL2	
"RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394)"	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	RTCB	
cellular response to corticosteroid stimulus (GO:0071384)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	HNRNPU	
negative regulation of transcription regulatory region DNA binding (GO:2000678)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	TMSB4X	
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	YTHDF2	
regulation of interleukin-1 production (GO:0032652)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	HMGB1	
dendritic cell chemotaxis (GO:0002407)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	HMGB1	
DNA unwinding involved in DNA replication (GO:0006268)	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	MCM6	
"mRNA cis splicing, via spliceosome (GO:0045292)"	16-Jan	0.0568487	0.159303633	0	0	18.43703704	52.86565804	SRSF1	
mRNA export from nucleus (GO:0006406)	2/107	0.05830523	0.162777799	0	0	5.317773307	15.1134493	SRSF1;SRSF9	
regulation of stem cell proliferation (GO:0072091)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	HNRNPU	
regulation of cholesterol biosynthetic process (GO:0045540)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	RAN	
negative regulation of phagocytosis (GO:0050765)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	HMGB1	
synaptic vesicle membrane organization (GO:0048499)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	STX1A	
positive regulation of regulated secretory pathway (GO:1903307)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	STX1A	
positive regulation of stem cell proliferation (GO:2000648)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	HNRNPU	
positive regulation of telomere capping (GO:1904355)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	HNRNPD	
protein heterooligomerization (GO:0051291)	17-Jan	0.060293951	0.163468437	0	0	17.28385417	48.54211058	CPSF7	
phosphatidylinositol metabolic process (GO:0046488)	2/112	0.063177364	0.163900062	0	0	5.074775928	14.01556289	IMPA1;PLCD1	
3'-UTR-mediated mRNA stabilization (GO:0070935)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	HNRNPC	
G protein-coupled acetylcholine receptor signaling pathway (GO:0007213)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	AGRN	
regulation of telomerase RNA localization to Cajal body (GO:1904872)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	RUVBL2	
regulation of vascular endothelial cell proliferation (GO:1905562)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	HMGB1	
regulation of brown fat cell differentiation (GO:0090335)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	HNRNPU	
negative regulation of interleukin-8 production (GO:0032717)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	TMSB4X	
RNA destabilization (GO:0050779)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	YTHDF2	
intermediate filament organization (GO:0045109)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	GFAP	
"positive regulation of mRNA splicing, via spliceosome (GO:0048026)"	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	RBMX	
cellular response to glucocorticoid stimulus (GO:0071385)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	HNRNPU	
dendritic cell migration (GO:0036336)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	HMGB1	
regulation of mRNA polyadenylation (GO:1900363)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	CPSF7	
regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	SFPQ	
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	18-Jan	0.063726788	0.163900062	0	0	16.26633987	44.78367792	DDX5	
response to fatty acid (GO:0070542)	19-Jan	0.067147257	0.169850603	0	0	15.36188272	41.49040526	PPP5C	
positive regulation of monocyte chemotaxis (GO:0090026)	19-Jan	0.067147257	0.169850603	0	0	15.36188272	41.49040526	HMGB1	
maintenance of protein localization in organelle (GO:0072595)	19-Jan	0.067147257	0.169850603	0	0	15.36188272	41.49040526	HNRNPU	
regulation of mitotic spindle assembly (GO:1901673)	19-Jan	0.067147257	0.169850603	0	0	15.36188272	41.49040526	HNRNPU	
tumor necrosis factor-mediated signaling pathway (GO:0033209)	2/116	0.067171277	0.169850603	0	0	4.895725229	13.22095273	PSMA1;TMSB4X	
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	2/119	0.070220712	0.174874936	0	0	4.76947153	12.66825044	PDCD5;HMGB1	
positive regulation of activated T cell proliferation (GO:0042104)	20-Jan	0.0705554	0.174874936	0	0	14.55263158	38.58422245	HMGB1	
positive regulation of embryonic development (GO:0040019)	20-Jan	0.0705554	0.174874936	0	0	14.55263158	38.58422245	CFL1	
positive regulation of peptidyl-lysine acetylation (GO:2000758)	20-Jan	0.0705554	0.174874936	0	0	14.55263158	38.58422245	RUVBL2	
maintenance of protein location in nucleus (GO:0051457)	20-Jan	0.0705554	0.174874936	0	0	14.55263158	38.58422245	HNRNPU	
regulation of protein kinase A signaling (GO:0010738)	20-Jan	0.0705554	0.174874936	0	0	14.55263158	38.58422245	AKAP12	
cytoskeleton organization (GO:0007010)	2/120	0.071247211	0.176008736	0	0	4.728813559	12.49163201	CFL1;EPB41L3	
regulation of nucleic acid-templated transcription (GO:1903506)	4/430	0.072219206	0.177389734	0	0	2.653738858	6.974156446	SFPQ;FUS;HNRNPD;RALY	
protein homooligomerization (GO:0051260)	2/121	0.07227864	0.177389734	0	0	4.688838916	12.31864246	FUS;RBMX	
acetylcholine receptor signaling pathway (GO:0095500)	21-Jan	0.073951262	0.177792973	0	0	13.82430556	36.00331664	AGRN	
regulation of cholesterol metabolic process (GO:0090181)	21-Jan	0.073951262	0.177792973	0	0	13.82430556	36.00331664	RAN	
cellular response to estradiol stimulus (GO:0071392)	21-Jan	0.073951262	0.177792973	0	0	13.82430556	36.00331664	RUVBL2	
stress granule assembly (GO:0034063)	21-Jan	0.073951262	0.177792973	0	0	13.82430556	36.00331664	YTHDF2	
chondroitin sulfate biosynthetic process (GO:0030206)	21-Jan	0.073951262	0.177792973	0	0	13.82430556	36.00331664	CSPG4	
protein localization to chromatin (GO:0071168)	21-Jan	0.073951262	0.177792973	0	0	13.82430556	36.00331664	RUVBL2	
protein deubiquitination (GO:0016579)	3/267	0.074100134	0.177792973	0	0	3.192045455	8.306780993	USP5;PSMA1;ADRM1	
cytokine-mediated signaling pathway (GO:0019221)	5/621	0.076407358	0.182064262	0	0	2.305075439	5.927907842	PSMA1;TMSB4X;CFL1;STX1A;LMNB1	
regulation of adenylate cyclase activity (GO:0045761)	22-Jan	0.077334886	0.182064262	0	0	13.16534392	33.69814743	PALM	
regulation of chromosome organization (GO:0033044)	22-Jan	0.077334886	0.182064262	0	0	13.16534392	33.69814743	HNRNPD	
positive regulation of translational initiation (GO:0045948)	22-Jan	0.077334886	0.182064262	0	0	13.16534392	33.69814743	YTHDF2	
peptidyl-threonine dephosphorylation (GO:0035970)	22-Jan	0.077334886	0.182064262	0	0	13.16534392	33.69814743	PPP5C	
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	22-Jan	0.077334886	0.182064262	0	0	13.16534392	33.69814743	PSMA1	
protein modification by small protein removal (GO:0070646)	3/276	0.080042682	0.185921606	0	0	3.085400314	7.791238236	USP5;PSMA1;ADRM1	
DNA-dependent DNA replication (GO:0006261)	2/129	0.080701761	0.185921606	0	0	4.391704558	11.05389788	PSMA1;MCM6	
regulation of telomere capping (GO:1904353)	23-Jan	0.080706316	0.185921606	0	0	12.56628788	31.62857298	HNRNPD	
positive regulation of histone acetylation (GO:0035066)	23-Jan	0.080706316	0.185921606	0	0	12.56628788	31.62857298	RUVBL2	
positive regulation of mRNA processing (GO:0050685)	23-Jan	0.080706316	0.185921606	0	0	12.56628788	31.62857298	RBMX	
membrane protein ectodomain proteolysis (GO:0006509)	23-Jan	0.080706316	0.185921606	0	0	12.56628788	31.62857298	RBMX	
"DNA catabolic process, endonucleolytic (GO:0000737)"	23-Jan	0.080706316	0.185921606	0	0	12.56628788	31.62857298	HMGB1	
cellular response to hypoxia (GO:0071456)	2/131	0.082853504	0.190284347	0	0	4.323179386	10.76766182	PSMA1;LMNA	
apoptotic nuclear changes (GO:0030262)	24-Jan	0.084065595	0.191312915	0	0	12.01932367	29.76174313	HMGB1	
neuromuscular junction development (GO:0007528)	24-Jan	0.084065595	0.191312915	0	0	12.01932367	29.76174313	AGRN	
protein K48-linked deubiquitination (GO:0071108)	24-Jan	0.084065595	0.191312915	0	0	12.01932367	29.76174313	USP5	
regulation of cell adhesion (GO:0030155)	2/133	0.08502289	0.19290692	0	0	4.256746586	10.49217696	YTHDF2;KNG1	
positive regulation of programmed cell death (GO:0043068)	3/286	0.08688241	0.194798183	0	0	2.974861181	7.268179881	PDCD5;HMGB1;KNG1	
regulation of spindle assembly (GO:0090169)	25-Jan	0.087412766	0.194798183	0	0	11.51793981	28.07053167	HNRNPU	
"positive regulation of DNA-templated transcription, elongation (GO:0032786)"	25-Jan	0.087412766	0.194798183	0	0	11.51793981	28.07053167	TCERG1	
"RNA splicing, via transesterification reactions (GO:0000375)"	25-Jan	0.087412766	0.194798183	0	0	11.51793981	28.07053167	KHSRP	
positive regulation of release of cytochrome c from mitochondria (GO:0090200)	25-Jan	0.087412766	0.194798183	0	0	11.51793981	28.07053167	PDCD5	
negative regulation of actin filament polymerization (GO:0030837)	25-Jan	0.087412766	0.194798183	0	0	11.51793981	28.07053167	TMSB4X	
regulation of telomere maintenance (GO:0032204)	26-Jan	0.090747873	0.201037323	0	0	11.05666667	26.53235403	HNRNPD	
regulation of monocyte chemotaxis (GO:0090025)	26-Jan	0.090747873	0.201037323	0	0	11.05666667	26.53235403	HMGB1	
regulation of cellular component organization (GO:0051128)	2/139	0.091633307	0.201808252	0	0	4.069086049	9.724954743	HNRNPU;GFAP	
protein dephosphorylation (GO:0006470)	2/139	0.091633307	0.201808252	0	0	4.069086049	9.724954743	PPP5C;ILKAP	
neuron projection morphogenesis (GO:0048812)	2/140	0.09274949	0.201849397	0	0	4.039395795	9.605089702	EPB41L3;CPNE1	
positive regulation of cellular catabolic process (GO:0031331)	2/141	0.093869684	0.201849397	0	0	4.010132739	9.487363704	KHSRP;HMGB1	
regulation of blood coagulation (GO:0030193)	27-Jan	0.094070957	0.201849397	0	0	10.63087607	25.12826467	KNG1	
positive regulation of gene silencing by miRNA (GO:2000637)	27-Jan	0.094070957	0.201849397	0	0	10.63087607	25.12826467	DDX5	
response to glucocorticoid (GO:0051384)	27-Jan	0.094070957	0.201849397	0	0	10.63087607	25.12826467	HNRNPU	
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	27-Jan	0.094070957	0.201849397	0	0	10.63087607	25.12826467	CSPG4	
positive regulation of toll-like receptor signaling pathway (GO:0034123)	27-Jan	0.094070957	0.201849397	0	0	10.63087607	25.12826467	HMGB1	
presynaptic endocytosis (GO:0140238)	27-Jan	0.094070957	0.201849397	0	0	10.63087607	25.12826467	STX1A	
protein export from nucleus (GO:0006611)	27-Jan	0.094070957	0.201849397	0	0	10.63087607	25.12826467	RAN	
protein localization to organelle (GO:0033365)	2/142	0.094993846	0.203248941	0	0	3.981287726	9.371725045	LMNA;STX1A	
protein-DNA complex assembly (GO:0065004)	2/143	0.096121933	0.204284718	0	0	3.952851863	9.258123611	PSMA1;MCM6	
positive regulation of cell communication (GO:0010647)	28-Jan	0.097382063	0.204284718	0	0	10.23662551	23.8422601	CLSTN1	
receptor clustering (GO:0043113)	28-Jan	0.097382063	0.204284718	0	0	10.23662551	23.8422601	AGRN	
"regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)"	28-Jan	0.097382063	0.204284718	0	0	10.23662551	23.8422601	DDX5	
internal peptidyl-lysine acetylation (GO:0018393)	28-Jan	0.097382063	0.204284718	0	0	10.23662551	23.8422601	RUVBL2	
positive regulation of protein import into nucleus (GO:0042307)	28-Jan	0.097382063	0.204284718	0	0	10.23662551	23.8422601	RAN	
regulation of postsynapse organization (GO:0099175)	28-Jan	0.097382063	0.204284718	0	0	10.23662551	23.8422601	CFL1	
MAPK cascade (GO:0000165)	3/303	0.099057926	0.207026939	0	0	2.803857143	6.482659274	PPP5C;PSMA1;PEBP1	
positive regulation of gene expression (GO:0010628)	4/482	0.099516278	0.207026939	0	0	2.358741132	5.442639598	DDX5;FUBP1;PDCD5;HNRNPD	
cellular response to cytokine stimulus (GO:0071345)	4/482	0.099516278	0.207026939	0	0	2.358741132	5.442639598	KHSRP;HNRNPU;RBMX;STX1A	
positive regulation of cytosolic calcium ion concentration (GO:0007204)	2/147	0.10067268	0.207155081	0	0	3.843030597	8.823140214	HMGB1;KNG1	
negative regulation of interferon-gamma production (GO:0032689)	29-Jan	0.100681231	0.207155081	0	0	9.870535714	22.66073522	HMGB1	
negative regulation of transferase activity (GO:0051348)	29-Jan	0.100681231	0.207155081	0	0	9.870535714	22.66073522	HNRNPU	
negative regulation of wound healing (GO:0061045)	29-Jan	0.100681231	0.207155081	0	0	9.870535714	22.66073522	KNG1	
regulation of cytosolic calcium ion concentration (GO:0051480)	2/148	0.101819757	0.20892524	0	0	3.816515532	8.719024807	HMGB1;KNG1	
positive regulation of DNA recombination (GO:0045911)	30-Jan	0.103968506	0.209794687	0	0	9.529693487	21.57205509	FUS	
regulation of type I interferon-mediated signaling pathway (GO:0060338)	30-Jan	0.103968506	0.209794687	0	0	9.529693487	21.57205509	YTHDF2	
regulation of catecholamine secretion (GO:0050433)	30-Jan	0.103968506	0.209794687	0	0	9.529693487	21.57205509	STX1A	
negative regulation of Notch signaling pathway (GO:0045746)	30-Jan	0.103968506	0.209794687	0	0	9.529693487	21.57205509	YTHDF2	
synaptic vesicle cycle (GO:0099504)	30-Jan	0.103968506	0.209794687	0	0	9.529693487	21.57205509	STX1A	
chondroitin sulfate metabolic process (GO:0030204)	30-Jan	0.103968506	0.209794687	0	0	9.529693487	21.57205509	CSPG4	
positive regulation of apoptotic process (GO:0043065)	3/310	0.10426324	0.209794687	0	0	2.738948348	6.192314186	PDCD5;HMGB1;KNG1	
negative regulation of transcription by RNA polymerase II (GO:0000122)	5/684	0.104478313	0.209794687	0	0	2.084380144	4.708147348	TCERG1;SFPQ;DDX5;HNRNPU;HMGB1	
aminoglycan catabolic process (GO:0006026)	31-Jan	0.107243929	0.211947869	0	0	9.211574074	20.56621472	AGRN	
negative regulation of DNA binding (GO:0043392)	31-Jan	0.107243929	0.211947869	0	0	9.211574074	20.56621472	CPNE1	
regulation of calcium ion-dependent exocytosis (GO:0017158)	31-Jan	0.107243929	0.211947869	0	0	9.211574074	20.56621472	STX1A	
positive regulation of mononuclear cell migration (GO:0071677)	31-Jan	0.107243929	0.211947869	0	0	9.211574074	20.56621472	HMGB1	
positive regulation of protein targeting to mitochondrion (GO:1903955)	31-Jan	0.107243929	0.211947869	0	0	9.211574074	20.56621472	PDCD5	
positive regulation of RNA splicing (GO:0033120)	31-Jan	0.107243929	0.211947869	0	0	9.211574074	20.56621472	RBMX	
dephosphorylation (GO:0016311)	2/153	0.107609416	0.212111999	0	0	3.689208096	8.224156544	PPP5C;ILKAP	
cellular response to interleukin-1 (GO:0071347)	2/155	0.109949849	0.214447451	0	0	3.640614931	8.037498202	PSMA1;RBMX	
gene silencing by miRNA (GO:0035195)	1/32	0.110507541	0.214447451	0	0	8.913978495	19.63456649	RAN	
regulation of cell morphogenesis (GO:0022604)	1/32	0.110507541	0.214447451	0	0	8.913978495	19.63456649	CFL1	
positive regulation of interleukin-10 production (GO:0032733)	1/32	0.110507541	0.214447451	0	0	8.913978495	19.63456649	HMGB1	
regulation of dendritic spine morphogenesis (GO:0061001)	1/32	0.110507541	0.214447451	0	0	8.913978495	19.63456649	CFL1	
positive regulation of telomere maintenance (GO:0032206)	1/32	0.110507541	0.214447451	0	0	8.913978495	19.63456649	HNRNPD	
regulation of cell differentiation (GO:0045595)	2/156	0.11112517	0.215090214	0	0	3.616791659	7.946445907	DDX17;DDX5	
"regulation of transcription, DNA-templated (GO:0006355)"	12/2244	0.112684574	0.215197228	0	0	1.559580469	3.40481797	DDX17;SFPQ;ILF3;DDX5;HNRNPK;FUS;RUVBL2;HNRNPD;HMGB3;HMGB1;PKN1;HNRNPAB	
negative regulation of gene expression (GO:0010629)	3/322	0.113434156	0.215197228	0	0	2.634303627	5.733648077	ILF3;YTHDF2;CPNE1	
positive regulation of ATP metabolic process (GO:1903580)	1/33	0.113759387	0.215197228	0	0	8.634982639	18.76960016	TMSB4X	
regulation of sprouting angiogenesis (GO:1903670)	1/33	0.113759387	0.215197228	0	0	8.634982639	18.76960016	EPN1	
apoptotic cell clearance (GO:0043277)	1/33	0.113759387	0.215197228	0	0	8.634982639	18.76960016	HMGB1	
positive regulation of histone modification (GO:0031058)	1/33	0.113759387	0.215197228	0	0	8.634982639	18.76960016	RUVBL2	
signal transduction by p53 class mediator (GO:0072331)	1/33	0.113759387	0.215197228	0	0	8.634982639	18.76960016	DDX5	
regulation of histone acetylation (GO:0035065)	1/33	0.113759387	0.215197228	0	0	8.634982639	18.76960016	RUVBL2	
neuron projection extension (GO:1990138)	1/33	0.113759387	0.215197228	0	0	8.634982639	18.76960016	CPNE1	
negative regulation of blood vessel endothelial cell migration (GO:0043537)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	HMGB1	
regulation of activated T cell proliferation (GO:0046006)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	HMGB1	
positive regulation of DNA binding (GO:0043388)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	HMGB1	
positive regulation of interleukin-12 production (GO:0032735)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	HMGB1	
sister chromatid segregation (GO:0000819)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	RAN	
synaptic vesicle recycling (GO:0036465)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	STX1A	
termination of RNA polymerase II transcription (GO:0006369)	1/34	0.116999506	0.215888523	0	0	8.372895623	17.964764	CPSF7	
