Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes									
Developmental biology	2/420	0.455341657	0.491651413	0	0	1.314711234	1.034292857	CFL1;AGRN									
Protein processing in the endoplasmic reticulum	1/166	0.456393543	0.491651413	0	0	1.663468013	1.304823992	UBE2G1									
Interferon signaling	1/168	0.460387811	0.493834789	0	0	1.643379907	1.274746914	FLNB									
Calcium signaling pathway	1/178	0.479929022	0.512605041	0	0	1.549748901	1.137697101	PLCD1									
Immune system	4/998	0.497525811	0.529148215	0	0	1.10419036	0.770843949	PSMA1;FLNB;UBE2G1;HMGB1									
Transmission across chemical synapses	1/190	0.502458889	0.532140004	0	0	1.450470312	0.998273799	STX1A									
Peptide G-protein coupled receptors	1/192	0.506119101	0.533764262	0	0	1.435136707	0.977304072	KNG1									
Amino acid metabolism	1/195	0.511559679	0.537244684	0	0	1.412729095	0.946939635	PSMA1									
G alpha (i) signaling events	1/199	0.518721925	0.54249668	0	0	1.38390853	0.908380023	KNG1									
Endocytosis	1/201	0.522264103	0.543934813	0	0	1.369930556	0.889882057	EPN1									
Gastrin-CREB signaling pathway via PKC and MAPK	1/206	0.531007444	0.550755655	0	0	1.336178862	0.845773478	KNG1									
Focal adhesion	1/233	0.57556377	0.594512371	0	0	1.179058908	0.65131833	FLNB									
"Immune system signaling by interferons, interleukins, prolactin, and growth hormones"	1/280	0.643381742	0.661839415	0	0	0.978096376	0.431357171	FLNB									
Neuronal system	1/283	0.6473277	0.663180623	0	0	0.967543341	0.420787136	STX1A									
Adaptive immune system	2/606	0.653362431	0.666642155	0	0	0.901175264	0.383561171	PSMA1;UBE2G1									
Innate immune system	1/319	0.691448854	0.702646407	0	0	0.856437806	0.315996512	HMGB1									
Signal transduction	3/1020	0.72649272	0.735280938	0	0	0.796881584	0.254625036	EPN1;KNG1;GFAP									
GPCR ligand binding	1/410	0.780148723	0.786414978	0	0	0.662795436	0.164552692	KNG1									
Metabolism	4/1615	0.850919227	0.854322904	0	0	0.659091931	0.106402529	IMPA1;CSPG4;AGRN;PLCD1									
Signaling by GPCR	1/977	0.974339036	0.974339036	0	0	0.269680669	0.007010605	KNG1									
