DCX_YFP(-)_tp1_s.1	DCX_YFP(-)_tp1_s.2	DCX_YFP(-)_tp1_s.3	DCX_YFP(-)_tp2_s.1	DCX_YFP(-)_tp2_s.2	DCX_YFP(-)_tp2_s.3	DCX_YFP(-)_tp3_s.1	DCX_YFP(-)_tp3_s.2	DCX_YFP(-)_tp3_s.3	DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(-)_tp1_s.1	SOX2_YFP(-)_tp1_s.2	SOX2_YFP(-)_tp1_s.3	SOX2_YFP(-)_tp2_s.1	SOX2_YFP(-)_tp2_s.2	SOX2_YFP(-)_tp2_s.3	SOX2_YFP(-)_tp3_s.1	SOX2_YFP(-)_tp3_s.2	SOX2_YFP(-)_tp3_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
UQCRC2	1.255247	1.061827	1.172203	1.426704	1.480891	1.477525	1.916309	0.9070194	1.805593	1.821412	1.567794	2.048034	1.388643	1.692344	1.241066	1.274821	1.445939	1.273371	1.724065	1.733356	1.321524	1.775258	2.195098	1.899908	2.524978	1.267518	1.634325	1.737697	1.524391	1.593937	1.633366
GABARAPL2	-2.153584	-1.946825	-2.359339	-1.536759	-2.244256	-2.114438	-3.978778	-2.700271	-3.8532	-1.631967	-2.057127	-2.708206	-2.49934	-2.08701	-2.259071	-3.031641	-3.822322	-3.606309	-4.467101	-2.721826	-3.652145	-3.138007	-4.750661	-3.742339	-5.503291	-2.651286	-2.749426	-2.928792	-1.796936	-2.027326	-2.056494
PPP4C	0.1909613	-0.5959463	-0.7578413	-0.2018075	-0.7351357	-0.8982052	-0.6561931	-4.426381	-0.803475	-1.149299	-1.614463	-2.484111	-1.143048	-0.4727484	0.4858756	-3.713313	-0.6915878	-0.3665967	0.1696009	-0.4237705	-0.4746935	-0.891199	-2.73947	-0.9090952	-4.401383	-0.5635169	-0.03017709	-1.595951	0.2309357	0.006104752	-0.1688649
EARS2	-0.2940296	-0.4041714	-0.1410745	0.7764789	-0.2733124	-0.5649466	-0.5931509	-1.002814	-0.1182679	1.580101	0.5875046	0.6025974	0.8677098	0.5184007	-0.7883994	1.202015	-0.5198886	0.04177086	0.8326319	-0.01312131	0.5015441	-0.13621	0.7640343	-0.1574425	0.2641489	0.4664365	-0.3671919	-0.9878361	-1.248059	-0.3851447	-0.7174382
PKM	0.6073467	-0.2257056	-0.07461365	-0.8933547	-0.383835	-1.079654	-1.45747	-1.218557	-1.256454	1.807726	1.494241	-0.2951409	-0.5551172	1.286703	0.2315589	-0.07649475	-2.383779	-1.670582	-1.241908	-0.2504027	-0.6768585	-0.853532	-0.935605	-0.6863902	-1.598491	-0.9067506	-0.5048753	-0.4858049	-0.07937057	0.16717	-0.2600252
LCMT1	-2.113313	-2.565644	-5.252489	-3.978823	-2.70849	-2.605296	-2.874828	-5.461856	-2.419371	-4.103645	-3.400018	-1.224895	-1.133504	-1.176047	-4.189154	-1.281193	-2.626454	-1.625757	-2.360251	-1.754705	-5.066783	-2.310958	-0.6647532	-0.5871241	-2.970552	-4.315181	-1.369045	-2.94364	-4.771181	-2.398778	-3.213499
MRPL21	-2.314834	-2.274665	-2.633861	-3.185565	-4.185186	-3.336058	-4.503467	-2.23552	-2.157057	-3.068614	-2.499634	-2.167107	-3.359363	-2.492151	-2.594786	-2.584413	-2.87086	-2.664237	-2.403145	-2.864347	-2.91006	-2.480028	-1.060937	-2.390639	0.02912961	-2.078997	-2.431205	-2.512758	-3.025545	-1.673308	-2.612185
GABARAP	-1.614204	-1.334045	-1.01317	-4.181021	-1.146916	-3.894724	-1.344997	-1.830897	-4.168219	-1.342118	-1.665284	-0.9466147	-3.938021	-0.6046354	-1.076032	-1.626113	-1.869363	-1.400572	-1.572624	-3.913893	-5.397277	-0.84992	-3.289915	-1.132879	-2.73109	-1.241177	-1.331506	-4.770651	-0.8397598	-1.2446	-1.337562
NUPL1	-1.225704	-0.7037623	-1.830238	-1.386098	-1.623566	-2.08614	-2.053313	-1.282042	-2.593817	-4.249806	-2.10314	-2.006986	-2.143115	-1.545785	-2.496737	-3.223857	-2.26631	-2.557285	-1.895319	-5.288823	-2.186066	-2.362028	0.3985981	1.571115	-2.2429	-0.8315526	-0.5681403	-1.981342	-2.395552	-0.5635556	-1.479385
PDIA3	2.423471	2.558676	2.642572	2.6673	2.562074	2.025829	2.589464	2.288341	2.70871	2.005421	1.914497	2.290411	1.983464	1.879786	2.207412	1.641537	2.817424	2.617682	2.640138	2.616215	2.224409	2.573918	-1.235778	-1.232513	-0.4569628	3.060127	2.64952	2.86556	2.528651	2.317163	2.588885
PPP1R7	-3.188515	-2.251725	-2.457362	-3.499819	-2.208901	-3.802979	-2.376044	-2.633476	-2.471882	-1.60061	-2.275738	-1.69055	-1.516594	0.3304887	-2.440506	-1.978658	-2.269421	-2.492591	-1.584279	-2.601269	-2.188716	-2.958035	-1.404004	-1.620719	-2.782225	-3.245516	-3.220747	-4.80894	-1.816111	-2.140757	-2.368609
NUP98	-2.918776	-2.796482	-2.914256	-2.649289	-2.641092	-4.459086	-2.781512	-3.912593	-2.418889	-3.730451	-6.061457	-3.495764	-5.053169	-3.821388	-3.479488	-3.717355	-1.324836	-2.264198	-2.767879	-2.102591	-3.093207	-2.61094	0.2192905	-0.4964387	-0.121022	-2.40193	-1.612211	-1.597045	-2.465026	-2.496116	-2.217856
NSF	-0.1070549	0.5090985	-0.09297799	-0.1135431	-0.0609688	-1.195952	0.5593051	-0.8480346	1.120217	1.174354	1.740835	0.4289748	0.4830647	0.8219199	0.3132308	1.91325	1.168507	0.4330594	0.6586596	0.675244	0.3301797	0.6869946	-1.820392	-2.476188	-0.8743512	0.05799855	0.5204551	0.0316225	-0.2194922	-0.19846	0.4140115
MAPT	-3.202462	-2.219657	-1.643099	-2.296325	-2.382985	-2.450315	-1.941848	-2.434589	-2.149716	0.8418674	1.102769	-1.526714	-0.7545506	-0.05398814	-1.417283	-0.4032378	-2.292978	-1.839685	-5.246983	-1.673269	-1.975828	-2.503277	-3.463107	-3.845878	-4.539474	-2.023765	-2.682148	-1.352491	-1.660835	-3.468049	-1.929278
SLC25A11	-0.5349455	-0.1393576	-0.9419004	-0.4843934	-1.202794	-2.234257	-0.623018	-0.7390354	-0.0494797	-0.1355982	-0.356098	0.1110884	-0.7082552	-0.2683585	-0.3059605	-0.6670325	1.009174	0.09856895	-0.2221142	-0.1204521	-0.3164411	-0.7129642	1.444278	0.5092905	0.6867378	-0.8811872	-2.169856	-1.22073	-0.7533931	-0.2364104	-0.6131484
EIF5A	2.86132	2.167694	2.637274	2.422605	2.116858	1.34349	2.066741	2.471433	3.001318	2.172838	2.247092	2.641405	2.258758	2.413236	2.08791	2.080924	2.389791	3.013212	2.674697	2.675948	2.396156	3.147392	3.429186	3.019775	4.198863	2.332227	2.462227	2.524649	2.815382	2.350771	2.401168
RSL1D1	-1.397741	-2.523671	-3.620759	-3.422103	-3.334018	-3.099798	-1.051103	-1.902911	-1.079092	-3.790645	-2.74961	-3.700193	-1.2595	-3.253561	-3.371335	-3.567092	-2.128197	-1.623151	-4.936442	-4.256466	-5.232865	-3.16321	-0.05566075	0.8035502	-1.610495	-1.380484	-1.708509	-3.652416	-3.31789	-3.581609	-2.7329
VPS4A	-2.250112	-1.622755	-2.005797	-5.58542	-1.06727	-4.681804	-1.812013	-3.014117	-2.486763	-2.038715	-2.146654	-2.000339	-1.332015	-4.383942	-2.09787	-3.679307	-2.884014	-1.501689	-2.237844	-2.00503	-1.942291	-2.232943	0.004991382	-1.805332	-0.1348478	-1.953599	-2.509519	-1.629549	-2.296546	-1.274103	-1.189459
NUP88	-1.682688	-3.51687	-2.687622	-2.376498	-1.634124	-2.778827	-3.240982	-3.52637	-2.572459	-4.181289	-3.873409	-3.709529	-4.019034	-2.977264	-1.601216	-3.588932	-2.526271	-1.313953	-3.189131	-2.753725	-3.712529	-2.219996	-0.8229991	-1.443324	-1.264116	-1.250357	-3.151634	-1.577314	-1.859294	-1.892567	-1.606175
PSMD9	-1.117231	-1.4324	-1.684369	-2.026105	-1.2239	-2.319531	-1.899473	-2.273655	-1.664045	-1.983233	-2.898798	-2.428587	-2.447318	-1.423189	-1.365133	-2.895957	-2.587055	-2.365584	-1.422845	-1.889167	-2.475609	-1.44189	-1.8237	-2.746128	-2.044735	-2.560886	-1.895335	-1.501191	-1.526288	-1.476159	-0.182001
CYB5A	-3.850068	-2.445808	-2.726087	-1.957062	-1.983824	-1.867253	-1.505996	-1.689152	-1.495774	-2.600033	-1.486305	-1.352715	-1.476567	-3.176234	-2.063265	-1.85385	-1.476058	-1.701536	-1.193761	-0.9650493	-1.391529	-0.9137285	-3.510206	-5.623229	-4.878015	-1.945096	-2.602288	-4.920095	-2.364331	-1.882659	-2.118896
TBL3	-3.793879	-4.432813	-3.218204	-0.2758494	-0.6152573	-0.1904657	-0.8098057	-2.129766	-1.264948	0.2296466	1.278479	0.1321518	0.2288392	-4.026304	-5.242127	-3.900496	-3.873803	-1.232134	-4.822792	-0.1256164	-3.015104	-3.366424	-0.556764	-1.001368	-2.547495	-0.239406	0.5266196	-0.8652027	-0.3435307	-4.032166	-0.5528022
SRSF2	1.685274	2.07919	2.415059	1.836205	1.941933	1.464848	1.693845	1.111434	1.463705	0.5720327	0.6805172	1.538447	1.228155	1.943275	2.313804	1.092508	1.888346	1.726838	1.993177	1.859406	1.757194	1.760033	-0.695285	-1.893078	-0.3287054	1.746058	1.762298	1.936319	2.455631	2.200211	2.194676
LUC7L3	0.6862308	1.107457	1.198921	-0.1901989	0.05288701	0.3058474	-0.2017783	0.03871783	0.2952417	-0.9084176	-1.031372	0.1103615	-0.942979	0.3475291	0.4385484	0.2049437	0.9047557	0.3401802	-0.4435079	-0.03370653	-0.4649795	-0.3957704	0.3678845	-0.7575293	-0.9891002	0.6588666	0.3826756	1.045726	0.9134073	0.9667151	1.202933
OLA1	1.835338	1.327732	1.940852	0.7406921	1.551211	-0.1614253	0.8227986	1.520669	1.640137	1.690658	1.101797	1.73679	0.4870061	1.558222	1.402575	1.007588	1.189713	1.949625	2.069417	1.151346	1.579514	1.476849	3.529302	1.99515	1.267317	1.954031	2.10224	1.880519	1.371021	2.286309	1.974278
IARS	1.396081	1.378484	1.467459	0.07630271	0.858209	-1.611802	1.373814	1.1844	1.710262	-0.4347537	-2.323384	0.8053353	0.2264078	0.8447137	1.129551	-0.4232524	1.337965	1.374451	1.349842	-0.1993273	0.7188234	1.714087	1.232355	0.05528061	0.5156325	1.559058	1.341385	1.5287	0.9268868	1.36537	1.359323
ZNF207	-1.222538	-1.176951	-0.4605085	-0.8185667	-1.081965	-0.7216151	-0.2649214	-1.921477	-0.5880407	-1.157451	-5.38572	-1.51903	-0.7836087	0.2074283	0.2674591	-0.8052394	-0.8557707	-0.5695447	-0.1469129	-1.460034	-0.5387708	-0.3048503	-5.474183	-4.87005	-2.444157	-0.8058012	-0.9610723	-0.3200963	0.3896729	-0.1999578	0.01603152
HN1	1.622729	1.769424	1.739828	2.334157	1.58992	1.553239	1.247552	1.074374	1.336954	2.687454	2.770202	2.165344	2.121463	2.535294	2.402882	1.995595	1.327906	0.973142	1.126523	2.249089	1.978144	1.91734	0.6973354	-5.447331	-0.6238199	1.249913	1.187339	1.844335	2.489399	2.055705	1.99613
RPL38	1.753113	1.479895	2.146495	2.433558	1.711399	2.181791	1.895281	1.843258	2.143535	1.845831	1.769236	2.163574	2.249433	2.273712	1.943489	2.253189	1.977707	2.118979	2.01134	2.657208	2.094637	2.281298	2.556905	2.532343	2.432059	1.884018	1.426777	1.558635	2.087175	1.949647	1.708456
DDX5	3.735577	3.255722	3.173054	2.397391	2.12273	1.49503	2.372181	2.412488	2.374527	1.817464	1.468823	3.081969	2.23255	3.472515	3.267462	2.873388	2.078459	2.540951	2.45526	2.777377	2.293442	2.022587	2.267073	1.654064	2.675623	2.398194	3.073968	3.066262	3.490258	3.412226	3.126758
RPL19	0.2190134	0.2791706	0.301148	0.05189504	-0.1964799	-2.859029	0.2424577	0.02823538	0.4241158	-0.8401463	-1.263603	-0.4469841	-0.11389	-0.5072067	0.09886481	-1.018485	0.4798676	-0.04258444	-0.1800076	0.2260655	-0.2821406	-0.1027628	-3.415668	-3.829743	-4.390324	-1.165902	-0.3428409	-0.1801773	0.06711784	-0.1185606	-0.2026564
SRSF1	3.503915	3.347548	3.213213	2.716122	3.378492	3.15202	3.079348	3.056315	3.225712	2.144498	1.804271	3.010229	2.612147	3.28075	3.618597	1.996957	3.423891	3.424563	3.050723	3.333659	2.925687	3.384017	0.6184362	-2.864714	0.6858007	3.467215	3.232464	3.734756	3.646467	3.452486	3.456436
SNRPN	2.337174	2.614547	2.384109	3.267726	2.673283	2.930937	2.153639	2.093003	1.417992	1.965711	1.016578	2.5291	1.758917	2.600658	2.857981	2.10883	2.808939	2.352562	2.090783	2.85233	2.432407	2.716283	3.147197	2.35902	4.373841	3.398819	2.192647	2.790451	3.201835	3.157356	3.11325
SAP30BP	-1.431652	-2.007972	-1.469802	-1.020568	-1.400157	-1.306026	-2.4044	-2.650308	-1.844001	-2.132538	-2.007193	-1.698031	-1.673911	-2.011274	-2.033507	-2.038564	-2.423273	-2.235688	-1.98404	-2.403847	-2.526592	-2.428281	-3.285126	-4.455282	-3.814613	-1.399978	-2.05357	-2.035439	-2.181029	-1.551713	-1.730226
RPL26	1.633163	1.548686	1.560922	1.690048	1.028463	1.364858	2.415622	1.362268	1.448837	1.010052	0.1511247	0.5910698	1.652525	1.122293	1.868588	0.7530048	2.33756	1.04463	0.6080163	1.885393	1.727334	1.330866	1.100618	-1.709889	1.257708	0.3323832	0.5759313	1.682332	1.494567	0.950421	1.177244
MYL12A	0.5214136	0.3959511	-0.5432802	0.05600494	0.09688438	-0.373894	0.8155878	0.8155587	0.9558791	-0.07147796	-0.3588547	-0.1221339	-0.3127193	-0.8853633	0.1012934	-0.6610975	1.75463	1.41442	0.4839885	0.7188795	0.2589969	0.1525468	-0.2179953	-2.023381	-0.5077834	0.75112	0.4965682	0.5980031	-0.2606845	0.1431654	0.7135547
BUB3	1.827331	1.007084	1.354161	0.9176418	1.01516	-0.8556414	0.3341267	-1.482465	1.046654	0.07013838	0.4767702	1.240325	0.3231268	1.698512	1.326319	1.16651	0.9722847	0.6188849	1.312685	0.08645868	-1.033754	-0.2557768	1.797394	0.4357488	0.380842	-0.4343897	1.605547	1.114908	1.698236	1.910146	1.58287
MBD3	-0.9355406	-0.9170184	-1.057412	-4.341808	-1.684672	-5.759869	-4.42387	-3.450621	-1.551197	-3.327239	-2.777704	-1.768371	-1.714806	-1.894898	-2.178434	-5.131388	-1.38419	-1.694514	-1.450003	-1.293946	-3.820937	-1.323235	-3.452812	-1.865978	-3.435034	-1.253525	-0.9580116	-0.8930594	-1.483679	-0.6388202	-0.8557673
KATNAL2	-0.1930307	-0.3941743	-0.3229372	-4.780404	-0.4614228	-4.864371	-0.8085216	-0.7891155	-0.6629555	-0.7284212	-1.198149	-0.6088933	-0.87383	-0.3060085	-0.2494042	-0.7615632	-0.463609	-0.3776816	-0.3421183	-0.2877937	-0.5186808	-0.2175193	-0.4105947	-1.717616	-0.09695423	-0.3728514	-0.3194028	-0.4334338	-0.161916	-0.1229074	-0.248278
NUDT16L1	-1.807001	-1.492945	-1.718784	-3.51658	-3.466222	-3.878542	-1.976287	-1.395813	-1.238225	-3.937725	-4.452172	-1.668302	-3.788808	-1.366838	-2.383095	-4.251672	-2.682975	-3.18625	-3.714656	-4.292499	-1.830306	-3.03959	-1.644969	-4.606884	-0.7378726	-3.075352	-1.599982	-2.667255	-1.045536	-1.228501	-1.016274
LONP1	-0.9018466	-0.08180827	-0.7103244	-1.059718	-1.023043	-0.1547783	-1.548479	-1.379507	-0.1296533	-1.846155	-2.102066	-0.8029326	-0.1488292	-0.8831792	-1.012373	-2.042647	-0.4271988	-0.1114016	-1.106965	-0.5805089	-0.1064722	0.001570821	1.053506	0.5421771	0.6513745	0.1862216	0.1694584	0.2674895	-0.9561163	-0.2208598	0.05877786
PSMD8	-0.9132419	-1.059007	-1.594007	-1.434442	-0.8890054	-2.482693	-2.41205	-1.858917	-0.5821038	-0.8721562	-0.6217806	-0.3277755	-0.5751579	0.2318898	-0.66277	-0.1118652	-1.808642	-0.325547	-0.632488	-0.7337102	-0.9632941	-0.9042537	-1.966825	-3.520189	-1.127415	0.03240836	0.3491513	-1.872579	-2.489937	-0.5606749	-0.2977502
DAZAP1	0.892264	0.8491734	0.9705889	0.3182346	0.3688663	0.06237543	0.03076627	-0.3232268	0.8720116	-0.226013	-0.4693881	0.2112978	-0.3232256	0.4427699	0.9423237	-0.255934	0.9452962	0.7326673	1.11092	0.6657569	0.1337265	0.7123306	0.7625932	-0.9280696	0.7948722	0.5556134	0.5161973	0.8083939	0.6732824	0.9137176	0.8377749
LSM12	-1.33133	-1.005864	-1.516751	-1.255288	-1.417454	-3.521945	-1.496115	-1.329693	-1.161714	-1.019613	-3.176867	-5.140967	-1.613044	-0.7464304	-2.39738	-1.709347	-1.569332	-1.259087	-3.68423	-3.881282	-1.338213	-5.74655	-3.604668	-1.210171	-4.527027	-2.177394	-2.540445	-1.529397	-1.112271	-1.178302	-1.278363
PRKCSH	1.405548	1.442664	1.619766	0.9949824	0.8978069	-0.3467398	1.16712	1.353083	1.221791	-0.1651091	-0.5948696	0.2437198	-0.1580258	0.1642182	1.050253	-1.157468	1.522294	1.536069	0.929198	0.3862438	0.2081048	0.881962	1.444544	0.7533907	-2.357025	1.669182	1.987612	2.022219	1.751401	1.241498	1.758621
GLYR1	-0.1568992	-0.06707017	-0.3808333	-3.253877	-0.4334888	-0.009478725	-4.589603	-0.6827425	-0.9237664	-0.2452784	-1.198348	-0.5288984	-0.3889183	-0.1714756	-0.8804044	0.3543753	-0.1704921	-0.1048434	-0.449612	-0.5504552	0.2446632	-0.6771489	-0.102315	0.07990731	-2.549829	0.2175324	-0.8901225	-0.5467174	-2.642368	-0.4931306	-0.3762662
NCLN	-2.287934	-3.010325	-2.761035	-5.001219	-2.607735	-3.393886	-3.199798	-1.394671	-2.237407	-2.510751	-2.377887	-1.995372	-3.445202	-4.849545	-2.278025	-2.545448	-1.93853	-2.33058	-2.032474	-4.621778	-2.299933	-2.069248	-1.481182	-2.114668	-1.547283	-3.122831	-3.658869	-2.626617	-2.350943	-2.923087	-2.796398
RNMT	-1.194958	-1.669266	-1.828262	-2.193785	-2.823356	-2.570041	-2.358401	-4.114862	-1.869571	-2.756771	-2.565609	-1.412806	-1.034094	-1.520993	-1.621125	-2.513595	-2.336593	-2.450908	-2.44144	-2.150477	-2.659459	-2.425227	-1.298394	-1.282813	-0.321496	-3.166981	-2.440312	-1.218787	-0.7433803	-1.237504	-1.830654
RBM42	-0.87269	-1.292545	-1.79549	-2.954886	-1.20097	-4.492809	-4.579625	-4.482068	-2.50065	-2.886092	-4.298901	-2.575136	-2.320594	-1.715691	-3.939153	-1.890133	-2.360668	-2.713124	-2.731823	-1.960756	-2.12988	-3.433776	-0.6848049	-0.632514	-0.4809119	-4.309374	-2.187551	-2.600798	-3.025867	-1.734859	-2.097796
TRPV2	1.103192	-0.3515925	1.23525	1.076936	0.7874045	1.273526	-0.494947	-1.753807	0.2857106	1.597861	0.8664017	1.951111	0.8949298	1.157278	1.118507	1.341875	0.3712387	0.754361	2.204661	1.127901	0.8305873	1.337008	-1.43569	-4.129519	-0.9374642	0.5181901	0.8043486	0.9728126	0.3274708	1.642313	1.498906
CDC37	-0.7347802	-0.8301117	-0.4871771	-0.9217691	-0.775951	-0.3343481	-0.9807919	-0.1008674	-0.3481428	-0.7868718	-0.7719544	-0.2833292	0.159314	-0.8219639	-0.6413495	-0.5756483	-0.0115239	-0.6640605	-0.3567632	-0.1047067	-0.3721035	-0.1181506	-1.519891	-3.402186	-2.076474	-0.5499837	-0.5800462	-0.3844857	-0.4435875	-0.6146823	-0.478319
LIG3	-1.779614	-1.896199	-2.645627	-3.152961	-3.277591	-5.216227	-3.662703	-5.08801	-2.796249	-4.670332	-3.29469	-2.7083	-4.212841	-1.643905	-3.623619	-4.044848	-2.360926	-1.724681	-4.585526	-1.908388	-4.691957	-5.147465	-5.793346	-2.803307	-3.430649	-3.775415	-2.069025	-2.131735	-3.061322	-2.943243	-2.919487
HDHD2	-3.857207	-3.509586	-3.231588	-1.775362	-2.029166	-3.036094	-3.151776	-2.667513	-3.342836	-1.654208	-1.997599	-5.159629	-3.413534	-1.909766	-2.356331	-1.877538	-3.179833	-3.684887	-3.509045	-2.74315	-3.175618	-3.375844	-3.338286	-3.891898	-1.928607	-3.931865	-2.924938	-2.739569	-5.276762	-2.786065	-2.798608
FARSA	-0.1604952	-0.1516209	-0.81489	-0.9388611	-0.8262033	-0.8378526	-1.316232	-0.3787455	-0.6450853	-1.066038	-1.235842	-0.916472	-0.2669566	-1.03977	-1.109341	-0.4620282	-0.7930802	-0.8191446	-0.731051	-0.7129154	-0.356594	-0.3308409	0.5092149	-3.48933	-2.770546	-1.079465	-1.132446	-1.145582	-0.293135	-0.136776	-0.3665166
KDSR	1.080542	-4.534313	-4.257771	-4.13096	-0.1789618	0.9740363	-0.8239266	-2.300858	-0.2382748	5.105591	5.92581	-0.1332998	0.9829654	2.222103	-4.515676	1.639542	-3.030072	5.29795	-0.2671277	-0.8323503	-1.02168	-0.7465124	-0.8969619	-1.890733	-5.696401	0.294782	4.709661	-5.332066	-3.723431	-1.545237	-0.6939712
EIF3K	0.3190336	-0.3138685	-0.4409926	-1.834546	-1.908994	-2.170668	-1.32228	-1.551649	-1.883211	-2.831983	-2.384621	-1.526102	-1.601114	-0.9320636	-1.221692	-2.201397	-0.6431529	-0.5088264	-0.5623628	-0.6757146	-1.721671	-0.8461315	-1.691151	-3.716263	-3.074593	-1.061246	-1.663348	-0.2352659	-0.3018729	0.5463008	-0.1015317
DUSP3	-1.667152	-2.484894	-2.392873	-3.304009	-4.696373	-4.287406	-1.844367	-3.109441	-5.079669	-1.834463	-4.063386	-2.862602	-1.773719	-1.028172	-2.255226	-3.112558	-1.708735	-2.766099	-2.24969	-1.142263	-4.001743	-4.786328	-3.561234	-3.909029	-1.735412	-4.494247	-1.427081	-2.172446	-2.307868	-2.445405	-2.515419
SLC35A4	-3.33735	-2.81177	-3.530371	-2.407924	-3.117268	-4.217433	-2.532139	-2.65297	-2.520416	-0.6324492	-3.916876	-2.82869	-2.876602	0.03589871	-2.982174	1.339728	-2.705165	-2.126037	-1.510592	-3.931352	-2.627039	-3.306684	-1.865782	-1.35793	-1.234519	-2.47003	-3.939922	-3.459874	-3.334893	-3.118037	-3.210332
COPE	0.8851281	1.302986	1.204187	-0.3785153	-0.03501976	-0.9294913	1.251839	1.205409	0.988753	0.7499415	-0.7035766	0.2705901	-0.5155206	0.554891	0.04137361	0.6938356	0.889682	1.381876	0.735657	0.7062293	0.05678453	0.4463782	-0.6576818	-0.6665586	-1.753529	0.08495909	0.9388419	0.3085721	0.8337823	0.4951648	0.8432686
MYDGF	-0.5866783	-0.5824748	-0.5312245	-0.7533361	-0.5291936	-1.161654	-1.223514	-0.1627139	-0.05048297	-1.102119	-1.006944	0.00780724	-0.7178268	-1.150899	-1.13314	-0.9905779	-1.135491	-0.1676006	-1.013401	-0.4948695	-1.190788	-0.189093	0.2779803	0.3992241	0.9041017	-0.5707785	-0.07677416	-0.6379015	-0.5137427	-0.2301089	-0.3257466
FBL	1.499252	1.715839	1.58001	1.660114	1.361496	0.8011656	1.212218	1.256266	1.484505	0.6824421	0.6077671	0.5872812	1.395718	1.154836	1.344397	0.784399	1.463442	1.89984	1.057384	1.591217	0.8177967	0.628249	3.085293	3.145935	3.101179	0.9986571	1.671322	1.40177	1.119804	0.8159109	1.178979
NUP62	-0.9812205	-0.6720752	-1.66711	-1.233227	-5.148602	-5.250408	-3.225814	-4.351858	-2.694073	-5.742533	-1.850642	-3.280488	-3.246035	-2.794522	-2.404063	-4.645232	-1.08814	-1.529987	-0.920772	-3.583608	0.9195269	0.1271281	2.213034	0.8423907	-1.575547	-3.140625	-0.9945577	-1.400472	-1.810466	-0.7981299	-2.175924
TIMM44	-1.114196	-1.265485	-1.414889	-3.385502	-2.984207	-2.714111	-1.542478	-1.918704	-1.593397	-4.22915	-4.886477	-2.328417	-2.053077	-2.332379	-1.236053	-2.232596	-0.9113917	-2.083733	-1.122508	-1.32065	-1.914193	-1.734602	-1.630055	-1.859268	-1.8507	-1.36682	-2.906733	-1.100883	-1.028776	-1.286436	-1.056928
PNKP	-0.8396767	-1.166461	-3.483777	-3.917569	-2.646207	-3.499055	-3.531726	-1.986977	-1.566365	-4.375268	-3.033453	-3.462351	-3.518383	-3.314602	-3.012159	-4.43636	-3.937781	-2.828175	-3.038001	-3.605816	-3.739526	-1.777149	-0.6617929	-2.027303	-3.834256	-2.00772	-3.427952	-1.282553	-3.291183	-1.649335	-1.372575
NA..3	-2.25621	-2.840615	-1.892366	-2.138124	-1.533318	-2.958909	-2.212516	-2.620295	-1.303079	-1.285039	-1.088367	-0.8861458	-2.323087	-1.386636	-2.769597	-0.7103962	-3.498571	-2.017207	-1.677859	-3.505821	-2.75224	-2.10745	0.5930546	1.996889	-1.996615	-2.607643	-1.48904	-2.530738	-5.664352	-1.946373	-2.410145
Putative.uncharacterized.protein.LOC400499	2.238761	2.332549	2.083313	1.701293	1.687088	1.767821	2.054047	1.738773	1.735478	1.717194	1.687692	1.580789	1.537074	1.61345	2.140406	1.079348	2.809959	2.124567	2.477719	2.082916	2.16577	1.960812	3.672208	4.256473	4.216806	2.088833	1.256978	1.572847	1.546149	1.532254	1.797784
HNRNPM	-1.942609	-2.242203	-2.808414	-2.231065	-2.511425	-3.616068	-3.492124	-2.269799	-2.483993	-2.208213	-2.53193	-2.250419	-3.211757	-2.120473	-2.246928	-2.323828	-2.618279	-2.742974	-2.565798	-1.940522	-2.620279	-2.521325	-2.454249	-0.02849522	-2.542636	-2.366547	-3.688396	-2.171351	-3.016467	-3.199728	-3.105998
EXOSC5	-2.455167	-2.834022	-2.955666	-2.52528	-2.521482	-2.580896	-3.898335	-4.217583	-3.000798	-4.115081	-3.57719	-2.508268	-3.548527	-2.377088	-3.137684	-2.526062	-2.864237	-2.992739	-3.145224	-2.848816	-2.925217	-2.773726	-2.684569	-5.935555	-2.52443	-2.206698	-2.982907	-3.337322	-2.557272	-2.845251	-3.381979
RPS5	2.417074	2.126027	2.130565	0.9917376	1.48607	1.356063	1.933109	2.160803	2.169063	1.963783	1.605293	1.43051	2.025014	1.554163	1.165177	1.385464	2.061443	2.081287	2.177541	2.307775	2.008394	1.676019	2.814778	2.24291	2.408823	1.331449	1.323393	1.773922	1.889507	1.762129	2.027432
RPL18A	1.637228	1.65927	1.408902	0.6461704	0.4899447	0.6345087	1.841191	1.843596	1.626322	1.068907	0.6713773	1.163992	1.683944	0.8952899	1.096151	1.040227	1.688185	1.622211	0.8679451	1.438403	1.916458	1.012044	3.968794	3.65398	2.972908	1.413224	1.664973	1.02969	1.155257	1.084238	0.9282385
