"class"	"rank"	"dataSetID"	"dataSetName"	"inGroups"	"pValue"	"Bonferroni"	"FDR"	"nCommonGenes"	"fracOfEffectiveClassSize"	"expectedFracOfEffectiveClassSize"	"enrichmentRatio"	"classSize"	"effectiveClassSize"	"fracOfEffectiveSetSize"	"effectiveSetSize"	"shortDataSetName"	"overlapGenes"
"33"	"black"	33	"GO:0044270"	"cellular nitrogen compound catabolic process"	"GO|GO.BP|GO"	2.08849883230352e-10	5.70912040798491e-05	1.58586677999581e-06	30	0.434782608695652	0.135977337110482	3.19746376811594	69	69	0.208333333333333	144	"cellular nitrogen compound catabolic process"	"1994 (ELAVL1)|3921 (RPSA)|4904 (YBX1)|6050 (RNH1)|6124 (RPL4)|6128 (RPL6)|6129 (RPL7)|6133 (RPL9)|6135 (RPL11)|6136 (RPL12)|6141 (RPL18)|6146 (RPL22)|6152 (RPL24)|6175 (RPLP0)|6188 (RPS3)|6193 (RPS5)|6202 (RPS8)|6203 (RPS9)|6205 (RPS11)|6207 (RPS13)|6208 (RPS14)|6210 (RPS15A)|6217 (RPS16)|6222 (RPS18)|6223 (RPS19)|6231 (RPS26)|9045 (RPL14)|23521 (RPL13A)|23589 (CARHSP1)|55110 (MAGOHB)"
"34"	"blue"	1	"GO:0016491"	"oxidoreductase activity"	"GO|GO.MF|GO"	0.000586991902184001	1	0.514295212759675	21	0.141891891891892	0.0698772426817753	2.03058802045289	148	148	0.283783783783784	74	"oxidoreductase activity"	"501 (ALDH7A1)|847 (CAT)|873 (CBR1)|2950 (GSTP1)|3939 (LDHA)|3945 (LDHB)|4522 (MTHFD1)|4719 (NDUFS1)|4723 (NDUFV1)|5034 (P4HB)|5092 (PCBD1)|6652 (SORD)|7358 (UGDH)|8991 (SELENBP1)|9352 (TXNL1)|9377 (COX5A)|9380 (GRHPR)|9588 (PRDX6)|25824 (PRDX5)|26227 (PHGDH)|51079 (NDUFA13)"
"35"	"blue"	2	"GO:0007423"	"sensory organ development"	"GO|GO.BP|GO"	0.00105904899434821	1	0.725568002744428	9	0.0608108108108108	0.0198300283286119	3.06660231660232	148	148	0.428571428571429	21	"sensory organ development"	"1641 (DCX)|2782 (GNB1)|4171 (MCM2)|7070 (THY1)|7431 (VIM)|8575 (PRKRA)|8642 (DCHS1)|9368 (SLC9A3R1)|10763 (NES)"
"36"	"blue"	3	"GO:0016358"	"dendrite development"	"GO|GO.BP|GO"	0.00107797282842532	1	0.734849507177916	13	0.0878378378378378	0.0358829084041549	2.44790184921764	148	148	0.342105263157895	38	"dendrite development"	"375 (ARF1)|815 (CAMK2A)|1627 (DBN1)|1742 (DLG4)|2931 (GSK3A)|4133 (MAP2)|8826 (IQGAP1)|23043 (TNIK)|23380 (SRGAP2)|23543 (RBFOX2)|28988 (DBNL)|54413 (NLGN3)|55201 (MAP1S)"
"37"	"blue"	4	"GO:0030033"	"microvillus assembly"	"GO|GO.BP|GO"	0.00164033427730397	1	0.947995302418211	4	0.027027027027027	0.00472143531633617	5.72432432432432	148	148	0.8	5	"microvillus assembly"	"5962 (RDX)|7430 (EZR)|9368 (SLC9A3R1)|23043 (TNIK)"
"38"	"blue"	5	"GO:0033260"	"nuclear DNA replication"	"GO|GO.BP|GO"	0.00164033427730397	1	0.947995302418211	4	0.027027027027027	0.00472143531633617	5.72432432432432	148	148	0.8	5	"nuclear DNA replication"	"4171 (MCM2)|4172 (MCM3)|4176 (MCM7)|5111 (PCNA)"
"39"	"blue"	6	"GO:0044786"	"cell cycle DNA replication"	"GO|GO.BP|GO"	0.00164033427730397	1	0.947995302418211	4	0.027027027027027	0.00472143531633617	5.72432432432432	148	148	0.8	5	"cell cycle DNA replication"	"4171 (MCM2)|4172 (MCM3)|4176 (MCM7)|5111 (PCNA)"
"40"	"blue"	7	"GO:1903651"	"positive regulation of cytoplasmic transport"	"GO|GO.BP|GO"	0.00164033427730397	1	0.947995302418211	4	0.027027027027027	0.00472143531633617	5.72432432432432	148	148	0.8	5	"positive regulation of cytoplasmic transport"	"4133 (MAP2)|4478 (MSN)|5962 (RDX)|7430 (EZR)"
"41"	"blue"	8	"GO:0055114"	"oxidation-reduction process"	"GO|GO.BP|GO"	0.00203851474939447	1	1	26	0.175675675675676	0.101983002832861	1.7225975975976	148	148	0.240740740740741	108	"oxidation-reduction process"	"501 (ALDH7A1)|847 (CAT)|873 (CBR1)|2026 (ENO2)|2931 (GSK3A)|3098 (HK1)|3939 (LDHA)|3945 (LDHB)|4522 (MTHFD1)|4719 (NDUFS1)|4723 (NDUFV1)|5034 (P4HB)|5092 (PCBD1)|5500 (PPP1CB)|6472 (SHMT2)|6652 (SORD)|7167 (TPI1)|7358 (UGDH)|8991 (SELENBP1)|9352 (TXNL1)|9377 (COX5A)|9380 (GRHPR)|9588 (PRDX6)|25824 (PRDX5)|26227 (PHGDH)|51079 (NDUFA13)"
"42"	"blue"	9	"GO:0006271"	"DNA strand elongation involved in DNA replication"	"GO|GO.BP|GO"	0.00268210200506169	1	1	3	0.0202702702702703	0.0028328611898017	7.15540540540541	148	148	1	3	"DNA strand elongation involved in DNA replication"	"4172 (MCM3)|4176 (MCM7)|5111 (PCNA)"
"43"	"blue"	10	"GO:0010829"	"negative regulation of glucose transmembrane transport"	"GO|GO.BP|GO"	0.00268210200506169	1	1	3	0.0202702702702703	0.0028328611898017	7.15540540540541	148	148	1	3	"negative regulation of glucose transmembrane transport"	"2171 (FABP5)|2931 (GSK3A)|8682 (PEA15)"
"44"	"brown"	1	"GO:0046040"	"IMP metabolic process"	"GO|GO.BP|GO"	0.000794442239617312	1	0.602175343132799	4	0.0421052631578947	0.0056657223796034	7.43157894736842	95	95	0.666666666666667	6	"IMP metabolic process"	"159 (ADSS2)|2618 (GART)|3251 (HPRT1)|5471 (PPAT)"
"45"	"brown"	2	"GO:0042398"	"cellular modified amino acid biosynthetic process"	"GO|GO.BP|GO"	0.00156604805260993	1	0.924611005748274	5	0.0526315789473684	0.0103871576959396	5.06698564593301	95	95	0.454545454545455	11	"cellular modified amino acid biosynthetic process"	"223 (ALDH9A1)|1152 (CKB)|2618 (GART)|3029 (HAGH)|55748 (CNDP2)"
"46"	"brown"	3	"GO:0009127"	"purine nucleoside monophosphate biosynthetic process"	"GO|GO.BP|GO"	0.00172638373299	1	0.975050118285424	4	0.0421052631578947	0.00661000944287063	6.36992481203008	95	95	0.571428571428571	7	"purine nucleoside monophosphate biosynthetic process"	"159 (ADSS2)|2618 (GART)|3251 (HPRT1)|5471 (PPAT)"
"47"	"brown"	4	"GO:0009168"	"purine ribonucleoside monophosphate biosynthetic process"	"GO|GO.BP|GO"	0.00172638373299	1	0.975050118285424	4	0.0421052631578947	0.00661000944287063	6.36992481203008	95	95	0.571428571428571	7	"purine ribonucleoside monophosphate biosynthetic process"	"159 (ADSS2)|2618 (GART)|3251 (HPRT1)|5471 (PPAT)"
"48"	"brown"	5	"GO:0006520"	"cellular amino acid metabolic process"	"GO|GO.BP|GO"	0.00186962464052415	1	1	13	0.136842105263158	0.0576015108593012	2.37566867989646	95	95	0.213114754098361	61	"cellular amino acid metabolic process"	"159 (ADSS2)|1743 (DLST)|2618 (GART)|2806 (GOT2)|5464 (PPA1)|5471 (PPAT)|5686 (PSMA5)|5694 (PSMB6)|6507 (SLC1A3)|10247 (RIDA)|23564 (DDAH2)|29968 (PSAT1)|51520 (LARS1)"
"49"	"brown"	6	"GO:1901605"	"alpha-amino acid metabolic process"	"GO|GO.BP|GO"	0.0021522242441825	1	1	8	0.0842105263157895	0.0264400377714825	3.18496240601504	95	95	0.285714285714286	28	"alpha-amino acid metabolic process"	"159 (ADSS2)|1743 (DLST)|2618 (GART)|2806 (GOT2)|5471 (PPAT)|10247 (RIDA)|23564 (DDAH2)|29968 (PSAT1)"
"50"	"brown"	7	"GO:0009156"	"ribonucleoside monophosphate biosynthetic process"	"GO|GO.BP|GO"	0.0032162056022671	1	1	4	0.0421052631578947	0.00755429650613787	5.57368421052632	95	95	0.5	8	"ribonucleoside monophosphate biosynthetic process"	"159 (ADSS2)|2618 (GART)|3251 (HPRT1)|5471 (PPAT)"
"51"	"brown"	8	"GO:0030695"	"GTPase regulator activity"	"GO|GO.MF|GO"	0.00461863115331637	1	1	6	0.0631578947368421	0.0179414542020774	3.5202216066482	95	95	0.315789473684211	19	"GTPase regulator activity"	"392 (ARHGAP1)|396 (ARHGDIA)|1983 (EIF5)|2665 (GDI2)|3996 (LLGL1)|51520 (LARS1)"
"52"	"brown"	9	"GO:0043484"	"regulation of RNA splicing"	"GO|GO.BP|GO"	0.00470724343197918	1	1	10	0.105263157894737	0.0424929178470255	2.47719298245614	95	95	0.222222222222222	45	"regulation of RNA splicing"	"1153 (CIRBP)|3178 (HNRNPA1)|3181 (HNRNPA2B1)|3187 (HNRNPH1)|3189 (HNRNPH3)|6428 (SRSF3)|6432 (SRSF7)|6434 (TRA2B)|10284 (SAP18)|29896 (TRA2A)"
"53"	"brown"	10	"GO:0009124"	"nucleoside monophosphate biosynthetic process"	"GO|GO.BP|GO"	0.00539352852444562	1	1	4	0.0421052631578947	0.0084985835694051	4.95438596491228	95	95	0.444444444444444	9	"nucleoside monophosphate biosynthetic process"	"159 (ADSS2)|2618 (GART)|3251 (HPRT1)|5471 (PPAT)"
"54"	"green"	1	"GO:0032210"	"regulation of telomere maintenance via telomerase"	"GO|GO.BP|GO"	2.29755603153711e-05	1	0.0415933719722506	7	0.0958904109589041	0.0141643059490085	6.76986301369863	73	73	0.466666666666667	15	"regulation of telomere maintenance via telomerase"	"908 (CCT6A)|1499 (CTNNB1)|6714 (SRC)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"55"	"green"	2	"GO:0032212"	"positive regulation of telomere maintenance via telomerase"	"GO|GO.BP|GO"	5.81892811052755e-05	1	0.0903785334257847	6	0.0821917808219178	0.0113314447592068	7.25342465753425	73	73	0.5	12	"positive regulation of telomere maintenance via telomerase"	"908 (CCT6A)|1499 (CTNNB1)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"56"	"green"	3	"GO:0007004"	"telomere maintenance via telomerase"	"GO|GO.BP|GO"	6.20308882093595e-05	1	0.0947305229101145	7	0.0958904109589041	0.016052880075543	5.97340854149879	73	73	0.411764705882353	17	"telomere maintenance via telomerase"	"908 (CCT6A)|1499 (CTNNB1)|6714 (SRC)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"57"	"green"	4	"GO:1904356"	"regulation of telomere maintenance via telomere lengthening"	"GO|GO.BP|GO"	6.20308882093595e-05	1	0.0947305229101145	7	0.0958904109589041	0.016052880075543	5.97340854149879	73	73	0.411764705882353	17	"regulation of telomere maintenance via telomere lengthening"	"908 (CCT6A)|1499 (CTNNB1)|6714 (SRC)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"58"	"green"	5	"GO:0006278"	"RNA-dependent DNA biosynthetic process"	"GO|GO.BP|GO"	9.59407038928315e-05	1	0.135187375340951	7	0.0958904109589041	0.0169971671388102	5.64155251141552	73	73	0.388888888888889	18	"RNA-dependent DNA biosynthetic process"	"908 (CCT6A)|1499 (CTNNB1)|6714 (SRC)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"59"	"green"	6	"GO:0032204"	"regulation of telomere maintenance"	"GO|GO.BP|GO"	9.59407038928315e-05	1	0.135187375340951	7	0.0958904109589041	0.0169971671388102	5.64155251141552	73	73	0.388888888888889	18	"regulation of telomere maintenance"	"908 (CCT6A)|1499 (CTNNB1)|6714 (SRC)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"60"	"green"	7	"GO:1904358"	"positive regulation of telomere maintenance via telomere lengthening"	"GO|GO.BP|GO"	0.000102186991874396	1	0.138286317320718	6	0.0821917808219178	0.012275731822474	6.695468914647	73	73	0.461538461538462	13	"positive regulation of telomere maintenance via telomere lengthening"	"908 (CCT6A)|1499 (CTNNB1)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"61"	"green"	8	"GO:0010833"	"telomere maintenance via telomere lengthening"	"GO|GO.BP|GO"	0.000143580574629697	1	0.180042137067771	7	0.0958904109589041	0.0179414542020774	5.34462869502523	73	73	0.368421052631579	19	"telomere maintenance via telomere lengthening"	"908 (CCT6A)|1499 (CTNNB1)|6714 (SRC)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"62"	"green"	9	"GO:2000573"	"positive regulation of DNA biosynthetic process"	"GO|GO.BP|GO"	0.000143580574629697	1	0.180042137067771	7	0.0958904109589041	0.0179414542020774	5.34462869502523	73	73	0.368421052631579	19	"positive regulation of DNA biosynthetic process"	"908 (CCT6A)|1499 (CTNNB1)|6714 (SRC)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"63"	"green"	10	"GO:0032206"	"positive regulation of telomere maintenance"	"GO|GO.BP|GO"	0.000169103682237519	1	0.206366886502	6	0.0821917808219178	0.0132200188857413	6.21722113502935	73	73	0.428571428571429	14	"positive regulation of telomere maintenance"	"908 (CCT6A)|1499 (CTNNB1)|7520 (XRCC5)|10576 (CCT2)|10694 (CCT8)|22948 (CCT5)"
"64"	"greenyellow"	1	"GO:0005871"	"kinesin complex"	"GO|GO.CC|GO"	0.000518273022006831	1	0.472250377652625	3	0.0909090909090909	0.0056657223796034	16.0454545454545	33	33	0.5	6	"kinesin complex"	"3799 (KIF5B)|5048 (PAFAH1B1)|7531 (YWHAE)"
"65"	"greenyellow"	2	"GO:0070262"	"peptidyl-serine dephosphorylation"	"GO|GO.BP|GO"	0.000518273022006831	1	0.472250377652625	3	0.0909090909090909	0.0056657223796034	16.0454545454545	33	33	0.5	6	"peptidyl-serine dephosphorylation"	"5515 (PPP2CA)|5518 (PPP2R1A)|7531 (YWHAE)"
"66"	"greenyellow"	3	"GO:0005929"	"cilium"	"GO|GO.CC|GO"	0.000571574808820191	1	0.504018353997056	6	0.181818181818182	0.0339943342776204	5.34848484848485	33	33	0.166666666666667	36	"cilium"	"3799 (KIF5B)|5048 (PAFAH1B1)|5315 (PKM)|5692 (PSMB4)|51382 (ATP6V1D)|83658 (DYNLRB1)"
"67"	"greenyellow"	4	"GO:0000188"	"inactivation of MAPK activity"	"GO|GO.BP|GO"	0.000942502021559734	1	0.672695437633339	2	0.0606060606060606	0.00188857412653447	32.0909090909091	33	33	1	2	"inactivation of MAPK activity"	"5515 (PPP2CA)|5518 (PPP2R1A)"
"68"	"greenyellow"	5	"GO:0033522"	"histone H2A ubiquitination"	"GO|GO.BP|GO"	0.000942502021559734	1	0.672695437633339	2	0.0606060606060606	0.00188857412653447	32.0909090909091	33	33	1	2	"histone H2A ubiquitination"	"1642 (DDB1)|55611 (OTUB1)"
"69"	"greenyellow"	6	"GO:0042532"	"negative regulation of tyrosine phosphorylation of STAT protein"	"GO|GO.BP|GO"	0.000942502021559734	1	0.672695437633339	2	0.0606060606060606	0.00188857412653447	32.0909090909091	33	33	1	2	"negative regulation of tyrosine phosphorylation of STAT protein"	"5515 (PPP2CA)|5518 (PPP2R1A)"
"70"	"greenyellow"	7	"GO:0046426"	"negative regulation of receptor signaling pathway via JAK-STAT"	"GO|GO.BP|GO"	0.000942502021559734	1	0.672695437633339	2	0.0606060606060606	0.00188857412653447	32.0909090909091	33	33	1	2	"negative regulation of receptor signaling pathway via JAK-STAT"	"5515 (PPP2CA)|5518 (PPP2R1A)"
"71"	"greenyellow"	8	"GO:1904893"	"negative regulation of receptor signaling pathway via STAT"	"GO|GO.BP|GO"	0.000942502021559734	1	0.672695437633339	2	0.0606060606060606	0.00188857412653447	32.0909090909091	33	33	1	2	"negative regulation of receptor signaling pathway via STAT"	"5515 (PPP2CA)|5518 (PPP2R1A)"
"72"	"greenyellow"	9	"GO:0060271"	"cilium assembly"	"GO|GO.BP|GO"	0.0014966990888434	1	0.889311743923831	5	0.151515151515152	0.0273843248347498	5.53291536050157	33	33	0.172413793103448	29	"cilium assembly"	"5048 (PAFAH1B1)|5518 (PPP2R1A)|7531 (YWHAE)|51382 (ATP6V1D)|83658 (DYNLRB1)"
"73"	"greenyellow"	10	"GO:0044782"	"cilium organization"	"GO|GO.BP|GO"	0.00175617384594304	1	0.985441112086338	5	0.151515151515152	0.028328611898017	5.34848484848485	33	33	0.166666666666667	30	"cilium organization"	"5048 (PAFAH1B1)|5518 (PPP2R1A)|7531 (YWHAE)|51382 (ATP6V1D)|83658 (DYNLRB1)"
"74"	"magenta"	1	"GO:0072562"	"blood microparticle"	"GO|GO.CC|GO"	2.67166595568261e-17	7.303266056454e-12	6.98274076214359e-13	17	0.459459459459459	0.0349386213408876	13.1504747991234	37	37	0.459459459459459	37	"blood microparticle"	"1 (A1BG)|2 (A2M)|183 (AGT)|197 (AHSG)|259 (AMBP)|335 (APOA1)|718 (C3)|720 (C4A)|1191 (CLU)|2243 (FGA)|2266 (FGG)|2335 (FN1)|2934 (GSN)|3263 (HPX)|3514 (IGKC)|7018 (TF)|7448 (VTN)"
"75"	"magenta"	2	"GO:0002576"	"platelet degranulation"	"GO|GO.BP|GO"	1.04528469972149e-10	2.85739025515866e-05	8.65875834896562e-07	11	0.297297297297297	0.0245514636449481	12.1091476091476	37	37	0.423076923076923	26	"platelet degranulation"	"1 (A1BG)|2 (A2M)|197 (AHSG)|335 (APOA1)|1191 (CLU)|2243 (FGA)|2266 (FGG)|2335 (FN1)|5265 (SERPINA1)|7018 (TF)|7414 (VCL)"
"76"	"magenta"	3	"GO:0062023"	"collagen-containing extracellular matrix"	"GO|GO.CC|GO"	2.06605029024476e-10	5.64775507341308e-05	1.58586677999581e-06	14	0.378378378378378	0.0491029272898961	7.70582120582121	37	37	0.269230769230769	52	"collagen-containing extracellular matrix"	"1 (A1BG)|2 (A2M)|183 (AGT)|197 (AHSG)|259 (AMBP)|335 (APOA1)|1191 (CLU)|2243 (FGA)|2266 (FGG)|2335 (FN1)|3263 (HPX)|3339 (HSPG2)|5265 (SERPINA1)|7448 (VTN)"
"77"	"magenta"	4	"GO:0006959"	"humoral immune response"	"GO|GO.BP|GO"	2.69012507968359e-10	7.35372591782306e-05	1.98749349130353e-06	9	0.243243243243243	0.0151085930122757	16.0996621621622	37	37	0.5625	16	"humoral immune response"	"2 (A2M)|718 (C3)|720 (C4A)|1191 (CLU)|2243 (FGA)|3263 (HPX)|3514 (IGKC)|7018 (TF)|7448 (VTN)"
"78"	"magenta"	5	"GO:0002920"	"regulation of humoral immune response"	"GO|GO.BP|GO"	2.76407992054383e-10	7.55588887079863e-05	1.9883918081049e-06	7	0.189189189189189	0.00755429650613787	25.0439189189189	37	37	0.875	8	"regulation of humoral immune response"	"2 (A2M)|718 (C3)|720 (C4A)|1191 (CLU)|3263 (HPX)|3514 (IGKC)|7448 (VTN)"
"79"	"magenta"	6	"GO:0031012"	"extracellular matrix"	"GO|GO.CC|GO"	4.76812323984522e-10	0.000130341416884409	3.1033670686764e-06	14	0.378378378378378	0.0519357884796978	7.28550368550369	37	37	0.254545454545455	55	"extracellular matrix"	"1 (A1BG)|2 (A2M)|183 (AGT)|197 (AHSG)|259 (AMBP)|335 (APOA1)|1191 (CLU)|2243 (FGA)|2266 (FGG)|2335 (FN1)|3263 (HPX)|3339 (HSPG2)|5265 (SERPINA1)|7448 (VTN)"
"80"	"magenta"	7	"GO:0005788"	"endoplasmic reticulum lumen"	"GO|GO.CC|GO"	7.16144857923578e-10	0.000195765358361989	4.5526827526044e-06	12	0.324324324324324	0.0358829084041549	9.03840682788051	37	37	0.315789473684211	38	"endoplasmic reticulum lumen"	"174 (AFP)|197 (AHSG)|335 (APOA1)|718 (C3)|720 (C4A)|1191 (CLU)|2243 (FGA)|2266 (FGG)|2335 (FN1)|5265 (SERPINA1)|7018 (TF)|7448 (VTN)"
"81"	"magenta"	8	"GO:0031093"	"platelet alpha granule lumen"	"GO|GO.CC|GO"	5.4635205492081e-09	0.00149350797733153	3.04797546394189e-05	8	0.216216216216216	0.0141643059490085	15.2648648648649	37	37	0.533333333333333	15	"platelet alpha granule lumen"	"1 (A1BG)|2 (A2M)|197 (AHSG)|1191 (CLU)|2243 (FGA)|2266 (FGG)|2335 (FN1)|5265 (SERPINA1)"
"82"	"magenta"	9	"GO:0006956"	"complement activation"	"GO|GO.BP|GO"	8.21296367293054e-09	0.00224509574963229	4.31749182621595e-05	6	0.162162162162162	0.00661000944287063	24.5328185328185	37	37	0.857142857142857	7	"complement activation"	"2 (A2M)|718 (C3)|720 (C4A)|1191 (CLU)|3514 (IGKC)|7448 (VTN)"
"83"	"magenta"	10	"GO:0030449"	"regulation of complement activation"	"GO|GO.BP|GO"	8.21296367293054e-09	0.00224509574963229	4.31749182621595e-05	6	0.162162162162162	0.00661000944287063	24.5328185328185	37	37	0.857142857142857	7	"regulation of complement activation"	"2 (A2M)|718 (C3)|720 (C4A)|1191 (CLU)|3514 (IGKC)|7448 (VTN)"
"84"	"pink"	1	"GO:0031491"	"nucleosome binding"	"GO|GO.MF|GO"	0.000314835560823688	1	0.321708645205751	5	0.128205128205128	0.0169971671388102	7.54273504273504	39	39	0.277777777777778	18	"nucleosome binding"	"1104 (RCC1)|3005 (H1-0)|6605 (SMARCE1)|8467 (SMARCA5)|11198 (SUPT16H)"
"85"	"pink"	2	"GO:0043596"	"nuclear replication fork"	"GO|GO.CC|GO"	0.000439650522692331	1	0.421694269765528	3	0.0769230769230769	0.00472143531633617	16.2923076923077	39	39	0.6	5	"nuclear replication fork"	"5813 (PURA)|7150 (TOP1)|8467 (SMARCA5)"
"86"	"pink"	3	"GO:0005694"	"chromosome"	"GO|GO.CC|GO"	0.000545758593999329	1	0.492180594116895	11	0.282051282051282	0.0944287063267233	2.98692307692308	39	39	0.11	100	"chromosome"	"1104 (RCC1)|1656 (DDX6)|2547 (XRCC6)|3005 (H1-0)|5813 (PURA)|6605 (SMARCE1)|7150 (TOP1)|7155 (TOP2B)|8467 (SMARCA5)|11198 (SUPT16H)|11258 (DCTN3)"
"87"	"pink"	4	"GO:0003682"	"chromatin binding"	"GO|GO.MF|GO"	0.000554492015830246	1	0.492180594116895	8	0.205128205128205	0.0519357884796978	3.94965034965035	39	39	0.145454545454545	55	"chromatin binding"	"1104 (RCC1)|3005 (H1-0)|4841 (NONO)|6605 (SMARCE1)|7150 (TOP1)|7155 (TOP2B)|8467 (SMARCA5)|11198 (SUPT16H)"
"88"	"pink"	5	"GO:0031974"	"membrane-enclosed lumen"	"GO|GO.CC|GO"	0.000795839635224273	1	0.602175343132799	29	0.743589743589744	0.486307837582625	1.52905153099328	39	39	0.0563106796116505	515	"membrane-enclosed lumen"	"1104 (RCC1)|1431 (CS)|1509 (CTSD)|1656 (DDX6)|2547 (XRCC6)|3005 (H1-0)|3295 (HSD17B4)|3418 (IDH2)|3796 (KIF2A)|4841 (NONO)|5236 (PGM1)|5685 (PSMA4)|5813 (PURA)|6605 (SMARCE1)|6717 (SRI)|7150 (TOP1)|7155 (TOP2B)|7913 (DEK)|8125 (ANP32A)|8467 (SMARCA5)|10642 (IGF2BP1)|10772 (SRSF10)|11198 (SUPT16H)|11258 (DCTN3)|11338 (U2AF2)|22827 (PUF60)|51119 (SBDS)|58490 (RPRD1B)|83442 (SH3BGRL3)"
"89"	"pink"	6	"GO:0043233"	"organelle lumen"	"GO|GO.CC|GO"	0.000795839635224273	1	0.602175343132799	29	0.743589743589744	0.486307837582625	1.52905153099328	39	39	0.0563106796116505	515	"organelle lumen"	"1104 (RCC1)|1431 (CS)|1509 (CTSD)|1656 (DDX6)|2547 (XRCC6)|3005 (H1-0)|3295 (HSD17B4)|3418 (IDH2)|3796 (KIF2A)|4841 (NONO)|5236 (PGM1)|5685 (PSMA4)|5813 (PURA)|6605 (SMARCE1)|6717 (SRI)|7150 (TOP1)|7155 (TOP2B)|7913 (DEK)|8125 (ANP32A)|8467 (SMARCA5)|10642 (IGF2BP1)|10772 (SRSF10)|11198 (SUPT16H)|11258 (DCTN3)|11338 (U2AF2)|22827 (PUF60)|51119 (SBDS)|58490 (RPRD1B)|83442 (SH3BGRL3)"
"90"	"pink"	7	"GO:0070013"	"intracellular organelle lumen"	"GO|GO.CC|GO"	0.000795839635224273	1	0.602175343132799	29	0.743589743589744	0.486307837582625	1.52905153099328	39	39	0.0563106796116505	515	"intracellular organelle lumen"	"1104 (RCC1)|1431 (CS)|1509 (CTSD)|1656 (DDX6)|2547 (XRCC6)|3005 (H1-0)|3295 (HSD17B4)|3418 (IDH2)|3796 (KIF2A)|4841 (NONO)|5236 (PGM1)|5685 (PSMA4)|5813 (PURA)|6605 (SMARCE1)|6717 (SRI)|7150 (TOP1)|7155 (TOP2B)|7913 (DEK)|8125 (ANP32A)|8467 (SMARCA5)|10642 (IGF2BP1)|10772 (SRSF10)|11198 (SUPT16H)|11258 (DCTN3)|11338 (U2AF2)|22827 (PUF60)|51119 (SBDS)|58490 (RPRD1B)|83442 (SH3BGRL3)"
"91"	"pink"	8	"GO:0005657"	"replication fork"	"GO|GO.CC|GO"	0.000856864123540526	1	0.638235359158142	3	0.0769230769230769	0.0056657223796034	13.5769230769231	39	39	0.5	6	"replication fork"	"5813 (PURA)|7150 (TOP1)|8467 (SMARCA5)"
"92"	"pink"	9	"GO:0051252"	"regulation of RNA metabolic process"	"GO|GO.BP|GO"	0.000905430642093974	1	0.660752553280066	18	0.461538461538462	0.22851746931067	2.01970756516211	39	39	0.0743801652892562	242	"regulation of RNA metabolic process"	"2547 (XRCC6)|3005 (H1-0)|4841 (NONO)|5685 (PSMA4)|5813 (PURA)|6605 (SMARCE1)|6717 (SRI)|7913 (DEK)|8125 (ANP32A)|8467 (SMARCA5)|10642 (IGF2BP1)|10772 (SRSF10)|11198 (SUPT16H)|11338 (U2AF2)|22827 (PUF60)|27044 (SND1)|29114 (TAGLN3)|58490 (RPRD1B)"
"93"	"pink"	10	"GO:0031981"	"nuclear lumen"	"GO|GO.CC|GO"	0.000906431838893856	1	0.660752553280066	24	0.615384615384615	0.36166194523135	1.70154649528018	39	39	0.0626631853785901	383	"nuclear lumen"	"1104 (RCC1)|1656 (DDX6)|2547 (XRCC6)|3005 (H1-0)|3796 (KIF2A)|4841 (NONO)|5685 (PSMA4)|5813 (PURA)|6605 (SMARCE1)|6717 (SRI)|7150 (TOP1)|7155 (TOP2B)|7913 (DEK)|8125 (ANP32A)|8467 (SMARCA5)|10642 (IGF2BP1)|10772 (SRSF10)|11198 (SUPT16H)|11258 (DCTN3)|11338 (U2AF2)|22827 (PUF60)|51119 (SBDS)|58490 (RPRD1B)|83442 (SH3BGRL3)"
"94"	"purple"	1	"GO:0006622"	"protein targeting to lysosome"	"GO|GO.BP|GO"	0.000673828880310868	1	0.561578849761521	3	0.0833333333333333	0.0056657223796034	14.7083333333333	36	36	0.5	6	"protein targeting to lysosome"	"4926 (NUMA1)|7879 (RAB7A)|27183 (VPS4A)"
"95"	"purple"	2	"GO:0006623"	"protein targeting to vacuole"	"GO|GO.BP|GO"	0.000673828880310868	1	0.561578849761521	3	0.0833333333333333	0.0056657223796034	14.7083333333333	36	36	0.5	6	"protein targeting to vacuole"	"4926 (NUMA1)|7879 (RAB7A)|27183 (VPS4A)"
"96"	"purple"	3	"GO:0072666"	"establishment of protein localization to vacuole"	"GO|GO.BP|GO"	0.000673828880310868	1	0.561578849761521	3	0.0833333333333333	0.0056657223796034	14.7083333333333	36	36	0.5	6	"establishment of protein localization to vacuole"	"4926 (NUMA1)|7879 (RAB7A)|27183 (VPS4A)"
