"protein_name"	"gene"
"Tetratricopeptide repeat protein 9C"	"TTC9C"
"Serine/threonine-protein phosphatase 5;Serine/threonine-protein phosphatase"	"PPP5C"
"40S ribosomal protein S2"	"RPS2"
"Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase"	"HADHA"
"Protein lin-7 homolog C;Protein lin-7 homolog A"	"LIN7A"
"YLP motif-containing protein 1"	"YLPM1"
"Cytochrome c oxidase subunit 6A1, mitochondrial"	"COX6A1"
"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform"	"PPP2R5C"
"60S ribosomal protein L28"	"RPL28"
"Signal peptidase complex catalytic subunit SEC11;Signal peptidase complex catalytic subunit SEC11A"	"SEC11A"
"Tropomodulin-3"	"TMOD3"
"Proteasome subunit alpha type;Proteasome subunit alpha type-4;Proteasome subunit beta type"	"PSMA4"
"Acidic leucine-rich nuclear phosphoprotein 32 family member A"	"ANP32A"
"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial"	"DUT"
"Aflatoxin B1 aldehyde reductase member 2"	"AKR7A2"
"RNA-binding protein with serine-rich domain 1"	"RNPS1"
"Mannose-6-phosphate isomerase"	"MPI"
"40S ribosomal protein S17"	"RPS17"
"Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 7"	"USP7"
"Cytosolic Fe-S cluster assembly factor NUBP2"	"NUBP2"
"4-aminobutyrate aminotransferase, mitochondrial"	"ABAT"
"Cytochrome c oxidase subunit 5A, mitochondrial"	"COX5A"
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10"	"NDUFB10"
"Adenine phosphoribosyltransferase"	"APRT"
"Cytochrome b-c1 complex subunit 2, mitochondrial"	"UQCRC2"
"Gamma-aminobutyric acid receptor-associated protein-like 2"	"GABARAPL2"
"Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 4 catalytic subunit"	"PPP4C"
"Probable glutamate--tRNA ligase, mitochondrial"	"EARS2"
"Pyruvate kinase"	"PKM"
"Leucine carboxyl methyltransferase 1"	"LCMT1"
"39S ribosomal protein L21, mitochondrial"	"MRPL21"
"Gamma-aminobutyric acid receptor-associated protein;Gamma-aminobutyric acid receptor-associated protein-like 1"	"GABARAP"
"Nucleoporin p58/p45"	"NUPL1"
"Protein phosphatase 1 regulatory subunit 7"	"PPP1R7"
"Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96"	"NUP98"
"Vesicle-fusing ATPase"	"NSF"
"Microtubule-associated protein;Microtubule-associated protein tau"	"MAPT"
"Mitochondrial 2-oxoglutarate/malate carrier protein"	"SLC25A11"
"Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-1-like;Eukaryotic translation initiation factor 5A-2"	"EIF5A"
"Ribosomal L1 domain-containing protein 1"	"RSL1D1"
"Vacuolar protein sorting-associated protein 4A"	"VPS4A"
"Nuclear pore complex protein Nup88"	"NUP88"
"26S proteasome non-ATPase regulatory subunit 9"	"PSMD9"
"Cytochrome b5"	"CYB5A"
"Transducin beta-like protein 3"	"TBL3"
"Serine/arginine-rich splicing factor 2"	"SRSF2"
"Luc7-like protein 3"	"LUC7L3"
"Obg-like ATPase 1"	"OLA1"
"Isoleucine--tRNA ligase, cytoplasmic"	"IARS"
"BUB3-interacting and GLEBS motif-containing protein ZNF207"	"ZNF207"
"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed"	"HN1"
"60S ribosomal protein L38"	"RPL38"
"Probable ATP-dependent RNA helicase DDX5"	"DDX5"
"Ribosomal protein L19;60S ribosomal protein L19"	"RPL19"
"Serine/arginine-rich splicing factor 1"	"SRSF1"
"Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated proteins B and B"	"SNRPN"
"SAP30-binding protein"	"SAP30BP"
"60S ribosomal protein L26;60S ribosomal protein L26-like 1"	"RPL26"
"Myosin regulatory light chain 12A;Myosin regulatory light chain 12B"	"MYL12A"
"Mitotic checkpoint protein BUB3"	"BUB3"
"Methyl-CpG-binding domain protein 3"	"MBD3"
"Katanin p60 ATPase-containing subunit A-like 2"	"KATNAL2"
"Protein syndesmos"	"NUDT16L1"
"Lon protease homolog, mitochondrial"	"LONP1"
"26S proteasome non-ATPase regulatory subunit 8"	"PSMD8"
"DAZ-associated protein 1"	"DAZAP1"
"Protein LSM12 homolog"	"LSM12"
"Glucosidase 2 subunit beta"	"PRKCSH"
"Putative oxidoreductase GLYR1"	"GLYR1"
"Nicalin"	"NCLN"
"mRNA cap guanine-N7 methyltransferase"	"RNMT"
"RNA-binding protein 42"	"RBM42"
"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed"	"CDC37"
"DNA ligase 3"	"LIG3"
"Haloacid dehalogenase-like hydrolase domain-containing protein 2"	"HDHD2"
"Phenylalanine--tRNA ligase alpha subunit"	"FARSA"
"3-ketodihydrosphingosine reductase"	"KDSR"
"Eukaryotic translation initiation factor 3 subunit K"	"EIF3K"
"Dual specificity protein phosphatase 3"	"DUSP3"
"Coatomer subunit epsilon"	"COPE"
"Myeloid-derived growth factor"	"MYDGF"
"rRNA 2-O-methyltransferase fibrillarin"	"FBL"
"Nuclear pore glycoprotein p62"	"NUP62"
"Mitochondrial import inner membrane translocase subunit TIM44"	"TIMM44"
"Bifunctional polynucleotide phosphatase/kinase;Polynucleotide 3-phosphatase;Polynucleotide 5-hydroxyl-kinase"	"PNKP"
"Putative uncharacterized protein LOC400499"	"Putative.uncharacterized.protein.LOC400499"
"Exosome complex component RRP46"	"EXOSC5"
"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed"	"RPS5"
"60S ribosomal protein L18a"	"RPL18A"
"60S ribosomal protein L21"	"RPL21"
"Charged multivesicular body protein 2a"	"CHMP2A"
"DNA polymerase;DNA polymerase delta catalytic subunit"	"POLD1"
"SURP and G-patch domain-containing protein 2"	"SUGP2"
"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	"AGPS"
"Kinesin-like protein KIF2A"	"KIF2A"
"ATP-dependent RNA helicase DDX39A"	"DDX39A"
"Cytosolic acyl coenzyme A thioester hydrolase"	"ACOT7"
"AH receptor-interacting protein"	"AIP"
"AP-3 complex subunit beta-1"	"AP3B1"
"26S proteasome non-ATPase regulatory subunit 11"	"PSMD11"
"26S proteasome non-ATPase regulatory subunit 12"	"PSMD12"
"Membrane-associated progesterone receptor component 1"	"PGRMC1"
"Transcription elongation factor SPT5"	"SUPT5H"
"DNA fragmentation factor subunit alpha"	"DFFA"
"Huntingtin-interacting protein 1"	"HIP1"
"Chloride intracellular channel protein 1"	"CLIC1"
"Eukaryotic translation initiation factor 3 subunit F"	"EIF3F"
"Histone deacetylase complex subunit SAP18"	"SAP18"
"Insulin-like growth factor 2 mRNA-binding protein 3"	"IGF2BP3"
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	"PLOD2"
"Cytochrome c oxidase subunit NDUFA4"	"NDUFA4"
"26S proteasome non-ATPase regulatory subunit 14"	"PSMD14"
"Importin subunit alpha-4"	"KPNA3"
"Pirin"	"PIR"
"Importin subunit alpha-3"	"KPNA4"
"Serine/threonine-protein phosphatase 6 catalytic subunit;Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed"	"PPP6C"
"Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide"	"MAN2B1"
"Dihydropyrimidinase-related protein 4"	"DPYSL4"
"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal"	"EIF1AX"
"Programmed cell death protein 5"	"PDCD5"
"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed"	"PRMT5"
"Na(+)/H(+) exchange regulatory cofactor NHE-RF1"	"SLC9A3R1"
"Transcription elongation regulator 1"	"TCERG1"
"Proteasome subunit alpha type-7"	"PSMA7"
"Histone acetyltransferase type B catalytic subunit"	"HAT1"
"Hepatocyte growth factor-regulated tyrosine kinase substrate"	"HGS"
"Exportin-1"	"XPO1"
"Phosphoribosylformylglycinamidine synthase"	"PFAS"
"Serine/threonine-protein kinase DCLK1"	"DCLK1"
"U6 snRNA-associated Sm-like protein LSm1"	"LSM1"
"Niemann-Pick C1 protein"	"NPC1"
"Actin-related protein 2/3 complex subunit 2"	"ARPC2"
"Actin-related protein 2/3 complex subunit 3"	"ARPC3"
"Membrane-associated progesterone receptor component 2"	"PGRMC2"
"Prefoldin subunit 6"	"PFDN6"
"Serine palmitoyltransferase 1"	"SPTLC1"
"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit"	"OGT"
"Protein phosphatase 1G"	"PPM1G"
"Eukaryotic translation initiation factor 3 subunit D"	"EIF3D"
"Syntaxin-7"	"STX7"
"Actin-related protein 2/3 complex subunit 5"	"ARPC5"
"Fatty acid-binding protein, brain"	"FABP7"
"Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15"	"DHX15"
"U4/U6 small nuclear ribonucleoprotein Prp4"	"PRPF4"
"Cytoplasmic dynein 1 light intermediate chain 2"	"DYNC1LI2"
"26S proteasome non-ATPase regulatory subunit 3"	"PSMD3"
"Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase"	"PAPSS1"
"U4/U6.U5 tri-snRNP-associated protein 1"	"SART1"
"RNA-binding protein Musashi homolog 1"	"MSI1"
"Heterogeneous nuclear ribonucleoprotein R"	"HNRNPR"
"Thioredoxin-like protein 1"	"TXNL1"
"Exportin-T"	"XPOT"
"Pleiotropic regulator 1"	"PLRG1"
"Alpha-actinin-4"	"ACTN4"
"HIV Tat-specific factor 1"	"HTATSF1"
"AP-1 complex subunit gamma-1"	"AP1G1"
"Small glutamine-rich tetratricopeptide repeat-containing protein alpha"	"SGTA"
"Asparagine--tRNA ligase, cytoplasmic"	"NARS"
"Cleavage and polyadenylation specificity factor subunit 5"	"NUDT21"
"Calumenin"	"CALU"
"Putative adenosylhomocysteinase 2;Adenosylhomocysteinase;Putative adenosylhomocysteinase 3"	"AHCYL1"
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5"	"NDUFS5"
"Double-strand-break repair protein rad21 homolog"	"RAD21"
"Mitochondrial import inner membrane translocase subunit Tim8 A"	"TIMM8A"
"Phosphoribosyl pyrophosphate synthase-associated protein 2"	"PRPSAP2"
"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5"	"SMARCA5"
"Kinesin heavy chain isoform 5C;Kinesin-like protein;Kinesin heavy chain isoform 5A"	"KIF5C"
"Intron-binding protein aquarius"	"AQR"
"Lysine-specific histone demethylase 1A"	"KDM1A"
"Sorting nexin-3"	"SNX3"
"Protein O-GlcNAcase"	"MGEA5"
"Heterogeneous nuclear ribonucleoprotein Q"	"SYNCRIP"
"Perilipin-3"	"PLIN3"
"Importin subunit alpha-7;Importin subunit alpha-6;Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed"	"KPNA6"
"UDP-glucose 6-dehydrogenase"	"UGDH"
"Eukaryotic translation initiation factor 1b"	"EIF1B"
"Sorting nexin-2"	"SNX2"
"General vesicular transport factor p115"	"USO1"
"Histone H2B;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type 1-K;Histone H2B type F-S;Histone H2B type 1-L"	"HIST1H2BN"
"H/ACA ribonucleoprotein complex subunit 4"	"DKC1"
"Endothelial differentiation-related factor 1"	"EDF1"
"Bromodomain-containing protein 4"	"BRD4"
"Protein CutA"	"CUTA"
"WD repeat-containing protein 1"	"WDR1"
"Copine-3"	"CPNE3"
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"	"NDUFS2"
"Protein NipSnap homolog 2"	"GBAS"
"Programmed cell death protein 6"	"PDCD6"
"V-type proton ATPase subunit G 1"	"ATP6V1G1"
"Core histone macro-H2A.1;Histone H2A"	"H2AFY"
"SH3 domain-binding glutamic acid-rich-like protein"	"SH3BGRL"
"Filamin-B"	"FLNB"
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"	"NDUFS6"
"Vesicle-trafficking protein SEC22b"	"SEC22B"
"Vacuolar protein sorting-associated protein 26A"	"VPS26A"
"Mitochondrial-processing peptidase subunit beta"	"PMPCB"
"PC4 and SFRS1-interacting protein"	"PSIP1"
"Erlin-1"	"ERLIN1"
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"	"NDUFS3"
"Serine/arginine-rich splicing factor 10"	"SRSF10"
"Heat shock factor-binding protein 1"	"HSBP1"
"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed"	"BANF1"
"Splicing factor 3B subunit 1"	"SF3B1"
"Cold shock domain-containing protein E1"	"CSDE1"
"Interferon-inducible double-stranded RNA-dependent protein kinase activator A"	"PRKRA"
"Nucleoplasmin-3"	"NPM3"
"Serpin B7"	"SERPINB7"
"U5 small nuclear ribonucleoprotein 200 kDa helicase"	"SNRNP200"
"TIP41-like protein"	"TIPRL"
"Paralemmin-1"	"PALM"
"Eukaryotic translation initiation factor 3 subunit G"	"EIF3G"
"Eukaryotic translation initiation factor 3 subunit J"	"EIF3J"
"Isocitrate dehydrogenase [NADP] cytoplasmic"	"IDH1"
"PRA1 family protein 3"	"ARL6IP5"
"Pre-mRNA-splicing factor SPF27"	"BCAS2"
"DnaJ homolog subfamily C member 8"	"DNAJC8"
"ATP synthase subunit d, mitochondrial"	"ATP5H"
"Flotillin-1"	"FLOT1"
"Glutaredoxin-3"	"GLRX3"
"Gamma-synuclein"	"SNCG"
"Signal recognition particle subunit SRP72"	"SRP72"
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"	"DDAH1"
"Metastasis-associated protein MTA2"	"MTA2"
"Mitochondrial import receptor subunit TOM70"	"TOMM70A"
"UBX domain-containing protein 7"	"UBXN7"
"Proline synthase co-transcribed bacterial homolog protein"	"PROSC"
"Erlin-2"	"ERLIN2"
"Pre-mRNA-processing factor 6"	"PRPF6"
"AP-2 complex subunit alpha-2"	"AP2A2"
"Reticulon-3"	"RTN3.1"
"LETM1 and EF-hand domain-containing protein 1, mitochondrial"	"LETM1"
"Zinc finger Ran-binding domain-containing protein 2"	"ZRANB2"
"Vesicle-associated membrane protein-associated protein B/C"	"VAPB"
"SNARE-associated protein Snapin"	"SNAPIN"
"Peptidyl-prolyl cis-trans isomerase FKBP9"	"FKBP9"
"6-phosphogluconolactonase"	"PGLS"
"Structural maintenance of chromosomes protein 2"	"SMC2"
"Importin-7"	"IPO7"
"Activator of 90 kDa heat shock protein ATPase homolog 1"	"AHSA1"
"Long-chain-fatty-acid--CoA ligase 3;Long-chain-fatty-acid--CoA ligase 4"	"ACSL3"
"N-acetylserotonin O-methyltransferase-like protein"	"ASMTL"
"Phosphatidate cytidylyltransferase 2"	"CDS2"
"Serine/threonine-protein kinase OSR1"	"OXSR1"
"Heat shock 70 kDa protein 4L"	"HSPA4L"
"U6 snRNA-associated Sm-like protein LSm8"	"LSM8"
"AP-2 complex subunit alpha-1"	"AP2A1"
"Apoptosis-inducing factor 1, mitochondrial"	"AIFM1"
"Fatty acid desaturase 2"	"FADS2"
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"	"DDAH2"
"Thioredoxin domain-containing protein 12"	"TXNDC12"
"Mitochondrial import receptor subunit TOM40 homolog"	"TOMM40"
"Actin-like protein 6A"	"ACTL6A"
"Histone-lysine N-methyltransferase NSD2"	"WHSC1"
"L-lactate dehydrogenase A chain"	"LDHA"
"Retinal dehydrogenase 1"	"ALDH1A1"
"Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase 2, mitochondrial"	"GLUD1"
"NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form"	"CYB5R3"
"Glutathione reductase, mitochondrial"	"GSR"
"Cytochrome c oxidase subunit 2"	"MT.CO2"
"Superoxide dismutase [Cu-Zn]"	"SOD1"
"Purine nucleoside phosphorylase"	"PNP"
"Hypoxanthine-guanine phosphoribosyltransferase"	"HPRT1"
"Aspartate aminotransferase, mitochondrial"	"GOT2"
"Phosphoglycerate kinase 1"	"PGK1"
"Adenylate kinase isoenzyme 1"	"AK1"
"Carbonic anhydrase 2"	"CA2"
"GTPase KRas;GTPase KRas, N-terminally processed"	"KRAS"
"Collagen alpha-1(I) chain"	"COL1A1"
"Collagen alpha-1(III) chain"	"COL3A1"
"Prelamin-A/C;Lamin-A/C"	"LMNA"
"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form"	"TFRC"
"Ferritin heavy chain;Ferritin heavy chain, N-terminally processed;Ferritin"	"FTH1"
"Catalase"	"CAT"
"Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase"	"ALDOA"
"Cystatin-B"	"CSTB"
"Annexin A1;Annexin"	"ANXA1"
"Superoxide dismutase [Mn], mitochondrial"	"SOD2"
"Ornithine aminotransferase, mitochondrial;Ornithine aminotransferase, hepatic form;Ornithine aminotransferase, renal form"	"OAT"
"Semenogelin-1;Alpha-inhibin-92;Alpha-inhibin-31;Seminal basic protein"	"SEMG1"
"Tubulin beta-4A chain"	"TUBB4A"
"Glyceraldehyde-3-phosphate dehydrogenase"	"GAPDH"
"Heat shock protein beta-1"	"HSPB1"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"	"RPN1"
"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2"	"RPN2"
"Guanine nucleotide-binding protein G(i) subunit alpha-2"	"GNAI2"
"Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E"	"HIST1H2AC"
"Sodium/potassium-transporting ATPase subunit alpha-1"	"ATP1A1"
"Sodium/potassium-transporting ATPase subunit beta-1"	"ATP1B1"
"Aldehyde dehydrogenase, mitochondrial"	"ALDH2"
"Non-histone chromosomal protein HMG-14"	"HMGN1"
"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed"	"SLC25A5"
"Eukaryotic translation initiation factor 2 subunit 1"	"EIF2S1"
"Non-histone chromosomal protein HMG-17;High mobility group nucleosome-binding domain-containing protein 3"	"HMGN2"
"60S acidic ribosomal protein P1"	"RPLP1"
"60S acidic ribosomal protein P2"	"RPLP2"
"60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like"	"RPLP0"
"Lupus La protein"	"SSB"
"Integrin beta-1"	"ITGB1"
"Keratin, type I cytoskeletal 18"	"KRT18"
"ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta"	"ATP5B"
"Protein S100;Protein S100-A6"	"S100A6"
"Alpha-enolase"	"ENO1"
"Glucose-6-phosphate isomerase"	"GPI"
"Nucleophosmin"	"NPM1"
"Histone H2B type 2-E;Histone H2B type 1-B;Histone H2B type 1-O;Histone H2B type 1-J"	"HIST2H2BE"
"Epoxide hydrolase 1"	"EPHX1"
"Acyl-CoA-binding protein"	"DBI"
"L-lactate dehydrogenase B chain;L-lactate dehydrogenase"	"LDHB"
"Neurofilament light polypeptide"	"NEFL"
"Protein disulfide-isomerase"	"P4HB"
"Histone H1.0;Histone H1.0, N-terminally processed"	"H1F0"
"Annexin A2;Annexin;Putative annexin A2-like protein"	"ANXA2"
"Calpain-1 catalytic subunit"	"CAPN1"
"Tubulin beta chain"	"TUBB"
"Prosaposin;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D"	"PSAP"
"Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A"	"HEXB"
"Profilin-1"	"PFN1"
"Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase"	"EPRS"
"Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain"	"CTSB"
"Heat shock protein HSP 90-alpha"	"HSP90AA1"
"Cytochrome b-c1 complex subunit 6, mitochondrial"	"UQCRH"
"Fumarate hydratase, mitochondrial"	"FH"
"Annexin A6;Annexin"	"ANXA6.1"
"Heat shock protein HSP 90-beta"	"HSP90AB1"
"Cytochrome c1, heme protein, mitochondrial"	"CYC1"
"U2 small nuclear ribonucleoprotein B"	"SNRPB2"
"U1 small nuclear ribonucleoprotein 70 kDa"	"SNRNP70"
"Vimentin"	"VIM"
"Annexin A5;Annexin"	"ANXA5"
"U1 small nuclear ribonucleoprotein A"	"SNRPA"
"Gamma-enolase;Enolase"	"ENO2"
"Glutathione S-transferase P"	"GSTP1"
"Galectin-1"	"LGALS1"
"Dihydropteridine reductase"	"QDPR"
"High mobility group protein B1;Putative high mobility group protein B1-like 1"	"HMGB1"
"Retinol-binding protein 1"	"RBP1"
"Glutathione S-transferase Mu 1;Glutathione S-transferase Mu 4"	"GSTM1"
"Annexin A4;Annexin"	"ANXA4"
"2,3-cyclic-nucleotide 3-phosphodiesterase"	"CNP"
"Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase"	"DLD"
"U2 small nuclear ribonucleoprotein A"	"SNRPA1"
"Poly [ADP-ribose] polymerase 1"	"PARP1"
"Ubiquitin carboxyl-terminal hydrolase isozyme L1;Ubiquitin carboxyl-terminal hydrolase"	"UCHL1"
"Leukotriene A-4 hydrolase"	"LTA4H"
"Fructose-bisphosphate aldolase C;Fructose-bisphosphate aldolase"	"ALDOC"
"Histone H2A.V;Histone H2A.Z;Histone H2A"	"H2AFV"
"Thymosin beta-15B;Thymosin beta-15A"	"TMSB15B"
"POTE ankyrin domain family member J"	"POTEJ"
"Splicing factor U2AF 35 kDa subunit;Splicing factor U2AF 26 kDa subunit"	"U2AF1"
"Cystathionine beta-synthase"	"CBS"
"60 kDa SS-A/Ro ribonucleoprotein"	"TROVE2"
"Lysosomal alpha-glucosidase;76 kDa lysosomal alpha-glucosidase;70 kDa lysosomal alpha-glucosidase"	"GAA"
"Histone H1.4"	"HIST1H1E"
"Thioredoxin"	"TXN"
"Cytochrome c oxidase subunit 5B, mitochondrial"	"COX5B"
"cAMP-dependent protein kinase type I-alpha regulatory subunit;cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed"	"PRKAR1A"
"S-formylglutathione hydrolase"	"ESD"
"60 kDa heat shock protein, mitochondrial"	"HSPD1"
"78 kDa glucose-regulated protein"	"HSPA5"
"Microtubule-associated protein 2"	"MAP2"
"Heat shock cognate 71 kDa protein"	"HSPA8"
"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"	"PDHB"
"Glycogen phosphorylase, brain form"	"PYGB"
"Lysosome-associated membrane glycoprotein 1"	"LAMP1"
"DNA topoisomerase 1"	"TOP1"
"DNA topoisomerase 2-alpha"	"TOP2A"
"Glucose-6-phosphate 1-dehydrogenase"	"G6PD"
"Pyruvate carboxylase, mitochondrial"	"PC"
"Cation-independent mannose-6-phosphate receptor"	"IGF2R"
"Alcohol dehydrogenase class-3"	"ADH5"
"Proliferating cell nuclear antigen"	"PCNA"
"ADP/ATP translocase 1"	"SLC25A4"
"ADP/ATP translocase 3;ADP/ATP translocase 3, N-terminally processed"	"SLC25A6"
"Nucleoprotein TPR"	"TPR"
"Creatine kinase B-type"	"CKB"
"Alpha-actinin-1"	"ACTN1"
"Proto-oncogene tyrosine-protein kinase Src"	"SRC"
"X-ray repair cross-complementing protein 6"	"XRCC6"
"X-ray repair cross-complementing protein 5"	"XRCC5"
"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"	"COX4I1"
"Lysosome-associated membrane glycoprotein 2"	"LAMP2"
"Ribonuclease inhibitor"	"RNH1"
"Elongation factor 2"	"EEF2"
"Prolyl 4-hydroxylase subunit alpha-1"	"P4HA1"
"Plastin-3"	"PLS3"
"Electron transfer flavoprotein subunit alpha, mitochondrial"	"ETFA"
"Glycogen [starch] synthase, muscle"	"GYS1"
"cAMP-dependent protein kinase type II-alpha regulatory subunit"	"PRKAR2A"
"General transcription factor IIF subunit 2"	"GTF2F2"
"Macrophage migration inhibitory factor"	"MIF"
"Farnesyl pyrophosphate synthase"	"FDPS"
"Alcohol dehydrogenase [NADP(+)]"	"AKR1A1"
"Pyruvate kinase PKM;Pyruvate kinase"	"PKM.1"
"Endoplasmin"	"HSP90B1"
"Cytochrome c oxidase subunit 6B1"	"COX6B1"
"Heterogeneous nuclear ribonucleoprotein L"	"HNRNPL"
"Aspartate--tRNA ligase, cytoplasmic"	"DARS"
"Cytochrome b-c1 complex subunit 7"	"UQCRB"
"Aldose reductase"	"AKR1B1"
"Eukaryotic peptide chain release factor GTP-binding subunit ERF3A"	"GSPT1"
"Ubiquitin carboxyl-terminal hydrolase isozyme L3;Ubiquitin carboxyl-terminal hydrolase"	"UCHL3"
"Replication protein A 32 kDa subunit"	"RPA2"
"Cytochrome c oxidase subunit 7C, mitochondrial"	"COX7C"
"Histone H2AX;Histone H2A type 1-A"	"H2AFX"
"Carbonyl reductase [NADPH] 1"	"CBR1"
"Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform;Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform"	"PPP3CB"
"Histone H1.5"	"HIST1H1B"
"Histone H1.3"	"HIST1H1D"
"Histone H1.2"	"HIST1H1C"
"NADPH--cytochrome P450 reductase"	"POR"
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"	"ATP2A2"
"Zinc finger protein 22"	"ZNF22"
"Alpha-N-acetylgalactosaminidase"	"NAGA"
"Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7"	"HSPA6"
"High mobility group protein HMG-I/HMG-Y"	"HMGA1"
"Aspartate aminotransferase, cytoplasmic"	"GOT1"
"cAMP-dependent protein kinase catalytic subunit alpha"	"PRKACA"
"Desmin"	"DES"
"Neuromodulin"	"GAP43"
"ATP-dependent 6-phosphofructokinase, liver type"	"PFKL"
"Galectin-3;Galectin"	"LGALS3"
"T-complex protein 1 subunit alpha"	"TCP1"
"Tyrosine-protein phosphatase non-receptor type 1;Tyrosine-protein phosphatase non-receptor type"	"PTPN1"
"60S ribosomal protein L35a"	"RPL35A"
"ADP-ribosylation factor 4"	"ARF4"
"Vinculin"	"VCL"
"Protein SON"	"SON"
"Phosphoglycerate mutase 1"	"PGAM1"
"Regulator of chromosome condensation"	"RCC1"
"Nucleolin"	"NCL"
"Hexokinase-1"	"HK1"
"DNA-directed RNA polymerase II subunit RPB3"	"POLR2C"
"Interferon-induced, double-stranded RNA-activated protein kinase"	"EIF2AK2"
"Spermidine synthase"	"SRM"
"Casein kinase II subunit alpha"	"CSNK2A2"
"Eukaryotic translation initiation factor 2 subunit 2"	"EIF2S2"
"Annexin A7"	"ANXA7"
"POU domain, class 3, transcription factor 2;POU domain, class 3, transcription factor 3;POU domain, class 3, transcription factor 1"	"POU3F2"
"Transcription factor BTF3"	"BTF3"
"Ras-related protein Rab-6A"	"RAB6A"
"Proteasome subunit beta type-1"	"PSMB1"
"Lamin-B1"	"LMNB1"
"Parathymosin"	"PTMS"
"Glutathione S-transferase Mu 3"	"GSTM3"
"V-type proton ATPase subunit B, brain isoform"	"ATP6V1B2"
"Filamin-A"	"FLNA"
