DCX_YFP(+)_tp2_s.1	DCX_YFP(+)_tp2_s.2	DCX_YFP(+)_tp3_s.1	DCX_YFP(+)_tp3_s.3	DCX_YFP(+)_tp1_s.1	DCX_YFP(+)_tp1_s.2	DCX_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp1_s.1	SOX2_YFP(+)_tp1_s.2	SOX2_YFP(+)_tp1_s.3	SOX2_YFP(+)_tp2_s.1	SOX2_YFP(+)_tp2_s.2	SOX2_YFP(+)_tp2_s.3
ZYX	-3.941989	-3.857328	-0.1934845	-0.6057761	-6.137257	-1.850842	-3.484416	-3.50631	-4.290018	-1.781867	-2.254475	-1.442955	-2.114967
DPM1	-3.723176	-3.736508	-1.658558	-4.635147	-3.04399	-2.522567	-2.102591	-1.315114	-1.047514	-3.274197	-3.037662	-1.481797	-1.514928
IMPDH2	1.336187	0.8548552	0.8764887	0.4199538	1.003805	0.9888881	0.6279932	1.072554	1.43592	1.166044	1.573494	1.495556	1.555749
RPL36A	-1.455611	-1.469692	-1.596356	-0.6831207	-1.129053	-0.8002744	-1.197168	-1.422379	-2.338029	-1.518332	-1.356441	-1.339871	-1.552112
NCSTN	-3.562369	-3.759572	-2.599658	-3.332852	-3.09106	-2.615822	-2.635016	-2.289662	-3.978583	-2.4765	-2.007826	-2.536089	-3.234
CALM2	6.15037	6.33185	4.830112	5.187554	5.711959	4.222176	5.755882	4.642734	5.352516	4.179334	4.270112	4.198315	3.999277
IPO5	0.8801335	0.938785	1.535731	0.03577864	1.763505	1.950273	1.023537	1.861306	2.334753	2.437026	2.751642	3.031809	2.745835
DNPH1	-2.274777	-4.775457	-3.344593	-2.249493	-2.570378	-3.688617	-4.03172	-0.6530048	-1.123219	-1.360392	0.01050728	-2.906995	-0.7944835
TMA16	-2.351591	-2.387788	-3.163405	-4.865542	-1.626925	-2.033151	-2.941536	-4.102223	-2.974983	-1.885921	-0.4130822	-2.289741	-2.561801
IMPA1	-1.834986	-1.620025	-1.736848	-3.994251	-1.273473	-1.791406	-4.136979	-3.835428	-2.286906	-2.322348	-2.249651	-1.876572	-1.315363
TTC9C	-3.581261	-2.257192	-1.956636	-3.400071	-1.900123	-2.224781	-1.580004	-2.035852	-2.131261	-2.773294	-0.9644929	-2.489	-2.603482
PPP5C	-0.7365112	-0.6979233	-0.03688934	-0.1744554	-0.3928134	0.0191767	-0.7548036	-1.018187	-0.3063698	0.1581045	0.3381576	0.0320074	-0.2684712
RPS2	0.8887725	0.8781803	0.8816464	1.310492	1.176913	1.948417	0.6203997	0.765615	1.251026	1.593225	1.39002	1.533494	1.330608
HADHA	-0.6746094	-0.009862661	2.159827	1.263754	0.6090468	1.009858	0.2191244	1.093615	1.763182	1.695377	1.288559	1.634503	1.359718
LIN7A	-1.737167	-1.41727	-1.915014	-1.84962	-2.638869	-2.444477	-3.61775	-1.233929	-2.779883	-2.010727	-2.392614	-2.650331	-2.211394
YLPM1	0.4036029	0.4460248	-3.02881	-1.295462	0.3240909	0.8497666	-0.06261258	0.1734211	0.6651583	0.9305488	-0.6095197	1.207171	0.9863888
COX6A1	0.05161277	-0.04341319	0.372449	0.09280469	-0.09667271	-0.3332416	0.06955388	0.2808894	-1.055241	-0.3022869	-0.127195	-0.1133706	0.4454947
PPP2R5C	-1.443562	-3.686702	-1.40992	-0.9714481	-2.493119	-1.638211	-3.071468	-5.109778	-4.269074	-1.512853	-1.710418	-0.821211	-0.4459547
RPL28	-3.148272	-4.187595	-4.444856	-2.270648	-3.728568	-0.9168881	-4.956429	-3.510676	-4.277198	-2.601207	-3.417176	-3.647679	-3.497852
SEC11A	-3.903813	-4.829876	-5.205796	-2.065072	-1.358791	-3.643342	-5.912226	-1.665652	-2.535151	-2.177969	-3.325206	-3.070924	-2.758092
TMOD3	-2.469792	-1.979357	-1.946525	-1.890485	-2.016992	-1.778058	-2.400911	-1.576534	-1.315046	-1.484354	-1.48088	-1.643343	-1.41541
PSMA4	1.392568	1.274457	1.887201	1.299482	1.846273	1.766339	1.098621	1.627478	2.045525	1.81264	1.732125	2.113437	2.049865
ANP32A	2.879836	3.051396	3.45514	3.237999	3.868133	3.062526	3.842749	3.190598	3.80057	3.357095	2.777078	4.021654	3.679017
DUT	-3.360004	0.1356439	0.8302633	0.6325301	-0.860628	-0.2191147	-0.9931192	0.6711029	0.8636838	1.060785	1.754374	1.483478	1.204664
AKR7A2	0.3644965	0.5843065	1.25404	0.05785958	-0.05148238	0.5333623	-0.04269645	0.1137913	1.157303	1.233506	1.435617	1.328711	1.029443
RNPS1	-2.230467	-4.705263	-1.102633	-1.584448	-1.101992	-1.10161	-3.145177	-0.7777943	-0.2234286	0.09012359	-0.02710727	0.2062874	-0.03016188
MPI	-1.84626	-1.766543	-1.758498	-1.302605	-3.418528	-3.859938	-4.916606	-1.440264	-0.6645698	-1.315852	-2.039767	-1.5836	-1.969165
RPS17	0.05531055	0.07752794	1.51931	1.213127	0.9346511	0.9681696	-0.07454987	-0.01592571	0.8050501	1.600268	0.5837907	1.507861	1.95261
USP7	-1.229744	-0.980157	0.6525387	-0.09141286	0.9346063	0.7968767	0.6504245	0.9193889	0.9507858	0.8173941	1.58706	1.173833	0.8297788
NUBP2	-2.373864	-2.757703	-1.994765	-4.150892	-1.633122	-1.91365	-3.518999	-1.840137	-1.294579	-2.520535	-1.395798	-1.44687	-1.281341
ABAT	-0.1193865	-0.8111007	1.387567	0.8508932	0.8557628	1.220817	0.09688699	0.884706	0.7685879	1.036697	2.146336	2.444164	2.838631
COX5A	1.39702	1.040787	0.7835714	1.213735	0.9304199	1.383003	0.6614846	1.33824	1.527475	1.577459	1.565849	1.769243	1.151988
NDUFB10	-0.6604805	-2.553031	-0.7594086	-2.26121	-0.6471007	-1.048703	-1.337913	-0.5182084	-1.742436	-1.165895	-1.236777	-1.524402	-1.219164
APRT	-1.819327	-2.442034	-1.047437	-0.7673122	-0.8870468	-0.3637092	-1.962445	0.192975	-0.2075256	-0.5088919	-0.1522789	-0.572503	-0.7897931
UQCRC2	1.821412	1.567794	2.048034	1.388643	1.692344	1.241066	1.274821	1.267518	1.634325	1.737697	1.524391	1.593937	1.633366
GABARAPL2	-1.631967	-2.057127	-2.708206	-2.49934	-2.08701	-2.259071	-3.031641	-2.651286	-2.749426	-2.928792	-1.796936	-2.027326	-2.056494
PPP4C	-1.149299	-1.614463	-2.484111	-1.143048	-0.4727484	0.4858756	-3.713313	-0.5635169	-0.03017709	-1.595951	0.2309357	0.006104752	-0.1688649
EARS2	1.580101	0.5875046	0.6025974	0.8677098	0.5184007	-0.7883994	1.202015	0.4664365	-0.3671919	-0.9878361	-1.248059	-0.3851447	-0.7174382
PKM	1.807726	1.494241	-0.2951409	-0.5551172	1.286703	0.2315589	-0.07649475	-0.9067506	-0.5048753	-0.4858049	-0.07937057	0.16717	-0.2600252
LCMT1	-4.103645	-3.400018	-1.224895	-1.133504	-1.176047	-4.189154	-1.281193	-4.315181	-1.369045	-2.94364	-4.771181	-2.398778	-3.213499
MRPL21	-3.068614	-2.499634	-2.167107	-3.359363	-2.492151	-2.594786	-2.584413	-2.078997	-2.431205	-2.512758	-3.025545	-1.673308	-2.612185
GABARAP	-1.342118	-1.665284	-0.9466147	-3.938021	-0.6046354	-1.076032	-1.626113	-1.241177	-1.331506	-4.770651	-0.8397598	-1.2446	-1.337562
NUPL1	-4.249806	-2.10314	-2.006986	-2.143115	-1.545785	-2.496737	-3.223857	-0.8315526	-0.5681403	-1.981342	-2.395552	-0.5635556	-1.479385
PDIA3	2.005421	1.914497	2.290411	1.983464	1.879786	2.207412	1.641537	3.060127	2.64952	2.86556	2.528651	2.317163	2.588885
PPP1R7	-1.60061	-2.275738	-1.69055	-1.516594	0.3304887	-2.440506	-1.978658	-3.245516	-3.220747	-4.80894	-1.816111	-2.140757	-2.368609
NUP98	-3.730451	-6.061457	-3.495764	-5.053169	-3.821388	-3.479488	-3.717355	-2.40193	-1.612211	-1.597045	-2.465026	-2.496116	-2.217856
NSF	1.174354	1.740835	0.4289748	0.4830647	0.8219199	0.3132308	1.91325	0.05799855	0.5204551	0.0316225	-0.2194922	-0.19846	0.4140115
MAPT	0.8418674	1.102769	-1.526714	-0.7545506	-0.05398814	-1.417283	-0.4032378	-2.023765	-2.682148	-1.352491	-1.660835	-3.468049	-1.929278
SLC25A11	-0.1355982	-0.356098	0.1110884	-0.7082552	-0.2683585	-0.3059605	-0.6670325	-0.8811872	-2.169856	-1.22073	-0.7533931	-0.2364104	-0.6131484
EIF5A	2.172838	2.247092	2.641405	2.258758	2.413236	2.08791	2.080924	2.332227	2.462227	2.524649	2.815382	2.350771	2.401168
RSL1D1	-3.790645	-2.74961	-3.700193	-1.2595	-3.253561	-3.371335	-3.567092	-1.380484	-1.708509	-3.652416	-3.31789	-3.581609	-2.7329
VPS4A	-2.038715	-2.146654	-2.000339	-1.332015	-4.383942	-2.09787	-3.679307	-1.953599	-2.509519	-1.629549	-2.296546	-1.274103	-1.189459
NUP88	-4.181289	-3.873409	-3.709529	-4.019034	-2.977264	-1.601216	-3.588932	-1.250357	-3.151634	-1.577314	-1.859294	-1.892567	-1.606175
PSMD9	-1.983233	-2.898798	-2.428587	-2.447318	-1.423189	-1.365133	-2.895957	-2.560886	-1.895335	-1.501191	-1.526288	-1.476159	-0.182001
CYB5A	-2.600033	-1.486305	-1.352715	-1.476567	-3.176234	-2.063265	-1.85385	-1.945096	-2.602288	-4.920095	-2.364331	-1.882659	-2.118896
TBL3	0.2296466	1.278479	0.1321518	0.2288392	-4.026304	-5.242127	-3.900496	-0.239406	0.5266196	-0.8652027	-0.3435307	-4.032166	-0.5528022
SRSF2	0.5720327	0.6805172	1.538447	1.228155	1.943275	2.313804	1.092508	1.746058	1.762298	1.936319	2.455631	2.200211	2.194676
LUC7L3	-0.9084176	-1.031372	0.1103615	-0.942979	0.3475291	0.4385484	0.2049437	0.6588666	0.3826756	1.045726	0.9134073	0.9667151	1.202933
OLA1	1.690658	1.101797	1.73679	0.4870061	1.558222	1.402575	1.007588	1.954031	2.10224	1.880519	1.371021	2.286309	1.974278
IARS	-0.4347537	-2.323384	0.8053353	0.2264078	0.8447137	1.129551	-0.4232524	1.559058	1.341385	1.5287	0.9268868	1.36537	1.359323
ZNF207	-1.157451	-5.38572	-1.51903	-0.7836087	0.2074283	0.2674591	-0.8052394	-0.8058012	-0.9610723	-0.3200963	0.3896729	-0.1999578	0.01603152
HN1	2.687454	2.770202	2.165344	2.121463	2.535294	2.402882	1.995595	1.249913	1.187339	1.844335	2.489399	2.055705	1.99613
RPL38	1.845831	1.769236	2.163574	2.249433	2.273712	1.943489	2.253189	1.884018	1.426777	1.558635	2.087175	1.949647	1.708456
DDX5	1.817464	1.468823	3.081969	2.23255	3.472515	3.267462	2.873388	2.398194	3.073968	3.066262	3.490258	3.412226	3.126758
RPL19	-0.8401463	-1.263603	-0.4469841	-0.11389	-0.5072067	0.09886481	-1.018485	-1.165902	-0.3428409	-0.1801773	0.06711784	-0.1185606	-0.2026564
SRSF1	2.144498	1.804271	3.010229	2.612147	3.28075	3.618597	1.996957	3.467215	3.232464	3.734756	3.646467	3.452486	3.456436
SNRPN	1.965711	1.016578	2.5291	1.758917	2.600658	2.857981	2.10883	3.398819	2.192647	2.790451	3.201835	3.157356	3.11325
SAP30BP	-2.132538	-2.007193	-1.698031	-1.673911	-2.011274	-2.033507	-2.038564	-1.399978	-2.05357	-2.035439	-2.181029	-1.551713	-1.730226
RPL26	1.010052	0.1511247	0.5910698	1.652525	1.122293	1.868588	0.7530048	0.3323832	0.5759313	1.682332	1.494567	0.950421	1.177244
MYL12A	-0.07147796	-0.3588547	-0.1221339	-0.3127193	-0.8853633	0.1012934	-0.6610975	0.75112	0.4965682	0.5980031	-0.2606845	0.1431654	0.7135547
BUB3	0.07013838	0.4767702	1.240325	0.3231268	1.698512	1.326319	1.16651	-0.4343897	1.605547	1.114908	1.698236	1.910146	1.58287
MBD3	-3.327239	-2.777704	-1.768371	-1.714806	-1.894898	-2.178434	-5.131388	-1.253525	-0.9580116	-0.8930594	-1.483679	-0.6388202	-0.8557673
KATNAL2	-0.7284212	-1.198149	-0.6088933	-0.87383	-0.3060085	-0.2494042	-0.7615632	-0.3728514	-0.3194028	-0.4334338	-0.161916	-0.1229074	-0.248278
NUDT16L1	-3.937725	-4.452172	-1.668302	-3.788808	-1.366838	-2.383095	-4.251672	-3.075352	-1.599982	-2.667255	-1.045536	-1.228501	-1.016274
LONP1	-1.846155	-2.102066	-0.8029326	-0.1488292	-0.8831792	-1.012373	-2.042647	0.1862216	0.1694584	0.2674895	-0.9561163	-0.2208598	0.05877786
PSMD8	-0.8721562	-0.6217806	-0.3277755	-0.5751579	0.2318898	-0.66277	-0.1118652	0.03240836	0.3491513	-1.872579	-2.489937	-0.5606749	-0.2977502
DAZAP1	-0.226013	-0.4693881	0.2112978	-0.3232256	0.4427699	0.9423237	-0.255934	0.5556134	0.5161973	0.8083939	0.6732824	0.9137176	0.8377749
LSM12	-1.019613	-3.176867	-5.140967	-1.613044	-0.7464304	-2.39738	-1.709347	-2.177394	-2.540445	-1.529397	-1.112271	-1.178302	-1.278363
PRKCSH	-0.1651091	-0.5948696	0.2437198	-0.1580258	0.1642182	1.050253	-1.157468	1.669182	1.987612	2.022219	1.751401	1.241498	1.758621
GLYR1	-0.2452784	-1.198348	-0.5288984	-0.3889183	-0.1714756	-0.8804044	0.3543753	0.2175324	-0.8901225	-0.5467174	-2.642368	-0.4931306	-0.3762662
NCLN	-2.510751	-2.377887	-1.995372	-3.445202	-4.849545	-2.278025	-2.545448	-3.122831	-3.658869	-2.626617	-2.350943	-2.923087	-2.796398
RNMT	-2.756771	-2.565609	-1.412806	-1.034094	-1.520993	-1.621125	-2.513595	-3.166981	-2.440312	-1.218787	-0.7433803	-1.237504	-1.830654
RBM42	-2.886092	-4.298901	-2.575136	-2.320594	-1.715691	-3.939153	-1.890133	-4.309374	-2.187551	-2.600798	-3.025867	-1.734859	-2.097796
TRPV2	1.597861	0.8664017	1.951111	0.8949298	1.157278	1.118507	1.341875	0.5181901	0.8043486	0.9728126	0.3274708	1.642313	1.498906
CDC37	-0.7868718	-0.7719544	-0.2833292	0.159314	-0.8219639	-0.6413495	-0.5756483	-0.5499837	-0.5800462	-0.3844857	-0.4435875	-0.6146823	-0.478319
LIG3	-4.670332	-3.29469	-2.7083	-4.212841	-1.643905	-3.623619	-4.044848	-3.775415	-2.069025	-2.131735	-3.061322	-2.943243	-2.919487
HDHD2	-1.654208	-1.997599	-5.159629	-3.413534	-1.909766	-2.356331	-1.877538	-3.931865	-2.924938	-2.739569	-5.276762	-2.786065	-2.798608
FARSA	-1.066038	-1.235842	-0.916472	-0.2669566	-1.03977	-1.109341	-0.4620282	-1.079465	-1.132446	-1.145582	-0.293135	-0.136776	-0.3665166
KDSR	5.105591	5.92581	-0.1332998	0.9829654	2.222103	-4.515676	1.639542	0.294782	4.709661	-5.332066	-3.723431	-1.545237	-0.6939712
EIF3K	-2.831983	-2.384621	-1.526102	-1.601114	-0.9320636	-1.221692	-2.201397	-1.061246	-1.663348	-0.2352659	-0.3018729	0.5463008	-0.1015317
DUSP3	-1.834463	-4.063386	-2.862602	-1.773719	-1.028172	-2.255226	-3.112558	-4.494247	-1.427081	-2.172446	-2.307868	-2.445405	-2.515419
SLC35A4	-0.6324492	-3.916876	-2.82869	-2.876602	0.03589871	-2.982174	1.339728	-2.47003	-3.939922	-3.459874	-3.334893	-3.118037	-3.210332
COPE	0.7499415	-0.7035766	0.2705901	-0.5155206	0.554891	0.04137361	0.6938356	0.08495909	0.9388419	0.3085721	0.8337823	0.4951648	0.8432686
MYDGF	-1.102119	-1.006944	0.00780724	-0.7178268	-1.150899	-1.13314	-0.9905779	-0.5707785	-0.07677416	-0.6379015	-0.5137427	-0.2301089	-0.3257466
FBL	0.6824421	0.6077671	0.5872812	1.395718	1.154836	1.344397	0.784399	0.9986571	1.671322	1.40177	1.119804	0.8159109	1.178979
NUP62	-5.742533	-1.850642	-3.280488	-3.246035	-2.794522	-2.404063	-4.645232	-3.140625	-0.9945577	-1.400472	-1.810466	-0.7981299	-2.175924
TIMM44	-4.22915	-4.886477	-2.328417	-2.053077	-2.332379	-1.236053	-2.232596	-1.36682	-2.906733	-1.100883	-1.028776	-1.286436	-1.056928
PNKP	-4.375268	-3.033453	-3.462351	-3.518383	-3.314602	-3.012159	-4.43636	-2.00772	-3.427952	-1.282553	-3.291183	-1.649335	-1.372575
NA..3	-1.285039	-1.088367	-0.8861458	-2.323087	-1.386636	-2.769597	-0.7103962	-2.607643	-1.48904	-2.530738	-5.664352	-1.946373	-2.410145
Putative.uncharacterized.protein.LOC400499	1.717194	1.687692	1.580789	1.537074	1.61345	2.140406	1.079348	2.088833	1.256978	1.572847	1.546149	1.532254	1.797784
HNRNPM	-2.208213	-2.53193	-2.250419	-3.211757	-2.120473	-2.246928	-2.323828	-2.366547	-3.688396	-2.171351	-3.016467	-3.199728	-3.105998
EXOSC5	-4.115081	-3.57719	-2.508268	-3.548527	-2.377088	-3.137684	-2.526062	-2.206698	-2.982907	-3.337322	-2.557272	-2.845251	-3.381979
RPS5	1.963783	1.605293	1.43051	2.025014	1.554163	1.165177	1.385464	1.331449	1.323393	1.773922	1.889507	1.762129	2.027432
RPL18A	1.068907	0.6713773	1.163992	1.683944	0.8952899	1.096151	1.040227	1.413224	1.664973	1.02969	1.155257	1.084238	0.9282385
RPL21	0.488762	0.6274945	0.69938	1.371542	0.7161084	1.006658	1.274553	0.6446025	0.3311445	0.7594043	1.135655	0.9046984	1.110602
CHMP2A	-4.247532	-2.13336	-3.270422	-2.649787	-1.790118	-2.103872	-4.502376	-4.311193	-3.436061	-1.825374	-1.621779	-2.393199	-1.702106
POLD1	-1.480244	-3.831403	-4.630485	-2.678007	-4.199908	-3.26748	-4.903124	-4.644689	-3.865411	-3.062057	-2.256815	-1.309804	-2.420774
SUGP2	-1.268517	-1.532422	-2.03336	-3.278198	-1.209501	-0.4526007	-2.128822	-2.953804	-1.484885	-2.328437	-2.462183	-1.487292	-1.015208
AGPS	-1.706424	-2.9503	-3.391559	-1.623419	-2.836502	-2.653444	-3.560025	-1.772283	-2.301798	-1.540671	-1.09074	-1.879328	-1.428415
KIF2A	-1.166272	-2.747749	-1.216266	-1.694276	-1.37779	-2.551248	-2.546939	-0.8283443	-3.958539	-2.185677	-1.043734	-1.911024	-2.198446
DDX39A	-3.50683	-2.57583	-0.8481103	-2.887925	0.3230537	-0.2852876	-1.1847	-5.421109	-1.482552	-0.1264934	0.4284809	0.9227237	-0.06853769
ACOT7	2.532803	2.1523	2.371936	0.9099668	2.110015	1.850113	1.460938	0.6312716	0.6628217	0.5161667	1.593898	1.468485	0.7954991
AIP	-4.439958	-3.868187	-4.185601	-3.685322	-1.521621	-3.6134	-1.303396	-4.066092	-4.487503	-4.107384	-1.882468	-2.787192	-4.134194
AP3B1	-3.386275	-2.771367	-2.419767	-5.341352	-4.124404	-3.636017	-4.855125	-4.814382	-2.965634	-2.884681	-3.019968	-3.63312	-2.604038
PSMD11	2.275948	2.240381	2.452123	2.184137	3.01619	2.354464	2.289351	2.19789	2.408117	2.315411	2.230156	2.438483	2.16155
PSMD12	-0.3523243	-0.698178	-1.369738	-2.498387	0.688711	-2.067664	0.43586	-2.295645	-0.179107	-2.487473	-0.7334973	-0.5163555	-2.635983
PGRMC1	3.393718	3.190254	2.776908	2.438505	3.013214	3.207599	2.655451	2.857453	2.448421	3.580866	2.966094	3.075876	3.289317
SUPT5H	-4.475583	-4.586792	-1.816774	-2.716521	-0.4779445	-1.348639	-1.706406	-1.595119	-1.419615	-2.568641	-0.7848231	-0.8423927	-0.400892
DFFA	-2.008856	-4.21934	-1.562435	-2.173748	-1.196051	-0.4486724	-2.525687	-0.6124955	-3.01232	-0.7615854	-0.9783759	-1.671166	-1.289438
HIP1	-2.868241	-3.56751	-2.546053	-0.7662548	-2.351449	-2.619804	-5.632008	-5.069074	-1.648748	-2.149105	-2.798529	-1.498993	-1.858567
CLIC1	2.512123	2.473801	2.36965	2.450164	2.831355	2.811941	2.748296	3.390479	3.293423	3.188781	3.391517	3.15522	3.216177
EIF3F	-0.7838829	-1.097941	-0.4079142	-0.2329368	-0.07403044	0.5552703	-0.9888695	0.3978787	0.5569052	-0.2483142	0.6805302	0.4302118	0.2437089
SAP18	0.9318465	-0.2263761	0.1560523	0.9408673	0.3615156	-1.197195	1.336101	1.661958	0.7864925	-0.7266081	-2.404256	-0.1528885	0.09723304
IGF2BP3	1.502671	0.3845263	-0.06765324	0.9940223	2.298167	2.490551	1.807923	2.472871	2.401534	2.919849	2.327857	2.260547	2.460051
PLOD2	-5.059699	-2.901622	-4.104413	-3.643507	-3.669947	-5.036691	-4.302321	-2.355079	-3.238181	-3.948905	-3.653762	-4.007652	-3.885245
NDUFA4	-1.718949	-1.862471	-0.140384	-0.8614616	-0.3293703	0.1149495	-2.15526	-1.349727	-0.3410248	-0.1360334	-0.07524739	0.3629817	-0.2211241
PSMD14	-0.485651	-0.1896116	-0.3157011	-0.8629802	-0.1106981	-0.5347788	-0.6634905	-0.6138935	-0.1228629	0.3058694	-0.6993495	-0.4296076	-0.1621841
KPNA3	-1.431424	-1.936846	-0.8094951	-1.366072	-0.8993087	-0.3484413	-1.952981	-0.4088966	-0.191834	-0.2825272	0.4767741	0.2769046	0.03638472
PIR	0.8356919	0.7311076	0.5903779	0.4160809	-4.402267	-0.7724596	-3.236736	-1.73212	-3.061727	-0.2941682	-0.05004735	-3.414684	0.3556269
KPNA4	-4.567392	-3.353329	-4.256613	-2.695953	-3.924259	-1.899829	-3.644148	-2.572842	-2.757169	-1.865374	-1.784496	-2.196019	-2.095853
PPP6C	-3.396616	-2.737652	-1.918606	-4.492839	-2.713104	-2.63191	-2.082437	-2.129436	-1.225241	-2.843488	-1.163136	-1.601064	-2.319831
MAN2B1	-3.069854	-4.459354	-2.101704	-1.336328	-3.492347	-5.098867	-3.875678	-1.934284	-2.646461	-1.291704	-3.268151	-2.500288	-2.649052
DPYSL4	3.980494	3.748783	3.187253	1.295852	3.644204	2.910642	2.72208	1.345793	2.230887	1.621441	1.609899	2.15931	2.188729
EIF1AX	0.004818201	0.3894348	0.5866046	0.09935277	1.032112	0.3595838	0.821044	-0.142472	1.04155	0.3158102	0.07580104	0.4827699	0.1162808
PDCD5	-0.9253806	-0.04778659	0.4501523	0.08497253	0.4870194	0.742655	0.5245265	-0.2035024	-0.06731781	0.6519603	1.209755	0.9622431	0.9316254
PRMT5	-3.749911	-4.610874	-1.125595	-4.309237	-1.578464	-2.030425	-1.949316	-3.130844	-1.342292	-2.385583	-1.476414	-0.9708834	-2.349026
SLC9A3R1	-4.313769	-5.112947	-2.366425	-2.713376	-3.669878	-3.245087	-5.648814	-1.089555	-2.436597	-1.591256	-1.865503	-2.449321	-1.669857
TCERG1	-3.102654	-2.651913	-0.3962241	-1.032081	-0.1306134	0.8706332	-1.863147	0.2596108	-0.001873726	1.060549	1.017331	1.006417	0.8812041
PSMA7	2.446501	1.964297	2.42465	2.299427	2.532042	2.467684	2.119683	2.427561	2.517385	2.382481	2.654849	2.647859	2.589426
HAT1	-2.771685	-2.474833	-2.531777	-2.317854	-2.528742	-0.9822629	-2.815282	-2.428151	-0.01394613	0.04346961	0.6014588	0.4694134	0.326254
HGS	-2.290048	-1.761662	-1.972072	-1.359212	-1.489966	-1.99439	-2.482769	-2.529139	-0.3914167	-1.404094	-1.438388	-0.6206235	-1.518971
XPO1	2.056536	1.972891	2.000223	1.609572	1.980427	2.079418	2.205125	1.274526	1.924816	2.361629	1.996502	2.536168	2.668154
PFAS	-0.769001	-1.353706	0.1170259	-0.988664	0.1761635	0.2699662	-0.9923669	0.272482	0.873772	0.7918814	0.8314866	1.182872	0.8329225
DCLK1	1.507324	1.376184	0.7686042	0.327638	0.2732109	-0.06955953	0.5643378	-2.534628	-2.799436	-2.892233	-1.207741	-0.4198833	-0.4237331
LSM1	-0.959944	-0.8389583	-0.5677665	-0.7249963	-1.180604	-2.127923	-0.4087899	-0.4687325	-1.866217	-4.121478	-3.848337	-1.608936	-4.483647
NPC1	-1.325509	0.03115663	-0.1739908	-0.7097468	0.2822093	-1.751192	-0.02944417	-1.914823	-0.4808248	-4.079466	-4.318536	-0.948429	-5.058666
ARPC2	1.623753	0.9288795	1.441424	0.7383572	1.238987	0.5305186	0.3039334	0.310032	0.6577636	0.8580369	0.5076683	0.9705422	0.5171198
ARPC3	-0.2545396	-0.1480873	-0.1995087	-1.113048	-0.37433	-0.07308163	-0.3646521	-1.174518	0.2661059	-0.8249359	-0.4458437	0.009711352	-1.0872
PGRMC2	0.02835244	-0.4769738	0.06827398	0.1578635	-0.5570295	-0.4023412	-4.756553	-0.384878	-0.8324259	-0.1800655	-0.2546545	-0.2171237	-0.04571196
PFDN6	0.5758221	-0.5589753	0.1327756	-2.163745	1.021521	0.5241219	0.08015595	-1.308257	0.08979978	-0.7548173	0.6783717	0.1610058	0.4380654
SPTLC1	-4.523709	-3.400193	-4.436396	-4.611235	-4.883775	-2.937527	-5.128109	-2.946624	-3.100831	-2.467469	-2.516406	-2.503407	-2.258207
OGT	-1.304434	-2.490181	-2.568178	-2.197822	-3.868466	-1.482496	-2.441114	-2.36332	-3.406136	-2.787208	-2.43215	-2.296593	-2.625714
PPM1G	-2.526067	-2.875568	-0.7577845	-0.961095	-0.8694002	-0.7035747	-2.319365	-1.161474	-0.9556041	-0.3671475	0.3168224	-0.3064374	-0.5767996
EIF3D	-0.7732723	-0.2534225	-0.5252662	-0.04754047	0.2246431	0.08008309	-0.1768688	-0.6410569	0.3748332	0.5579134	0.6854212	0.463186	0.745911
STX7	-0.6060724	-1.189163	-1.727907	-1.545856	-0.8929929	-0.06317117	-1.358217	-2.62391	-3.681783	-1.299151	-1.751923	-0.9375578	-1.103809
ARPC5	-1.335385	-1.483908	-1.044788	-1.025789	-2.142072	-0.6157171	-1.900664	-2.294197	-1.864274	-0.7670781	-1.827672	-0.961673	-0.9549993
FABP7	3.470545	3.730085	4.720573	4.233783	0.3790744	0.8924125	-0.361834	2.996567	3.008751	2.917547	2.921896	3.796959	2.991628
DHX15	1.58009	1.20524	2.096246	1.462615	2.491184	2.854216	1.731766	2.396433	2.762233	2.558668	2.739929	2.912088	2.833214
PRPF4	-2.053584	-3.13885	-1.410776	-2.607997	-1.559503	-1.295198	-1.478218	-1.709982	-0.7098236	-1.236393	-0.01597225	-0.1208583	-0.8665963
DYNC1LI2	0.2597491	0.08259289	-1.139955	-0.7726248	-0.3228361	-0.8834668	-1.256161	-0.9690892	-1.962225	-1.718511	-0.9593494	-1.877274	-0.6697818
PSMD3	0.888357	1.087705	1.161481	0.7127203	1.230913	1.327362	0.2579959	0.8481546	1.466879	1.565571	1.609289	1.431952	1.624817
PAPSS1	-1.767848	-1.700431	-0.7584983	-1.14297	-0.7937129	0.05282351	-0.9599747	-1.371293	-1.054582	0.05851328	-0.3988131	0.1353714	-0.7431864
SART1	-5.008482	-2.734455	-1.643353	-4.077256	-2.492043	-1.481931	-2.129362	-1.889437	-1.202551	-1.49404	-0.4121211	-0.6685264	-0.7483035
MSI1	0.08711804	0.3403141	0.6876193	-0.1529023	1.586053	1.75533	1.558909	1.820555	2.558216	2.542516	2.631692	2.657637	2.826349
HNRNPR	4.408095	4.45181	4.701827	4.371389	5.063137	5.197087	4.702365	3.678094	4.086862	4.960813	4.923298	5.072456	5.107878
TXNL1	1.007481	0.96326	0.4636625	1.571927	0.9245292	1.306566	0.1207022	1.752263	0.2153916	1.201942	0.9576319	0.8327114	0.8938115
