NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CDC42 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CDC42 SIGNALING EVENTS	CDC42 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CDC42 SIGNALING EVENTS		25	0.43926772	1.4245167	0.078947365	0.29364884	1.0	528	tags=48%, list=25%, signal=63%	
REGULATION OF ACTIN DYNAMICS FOR PHAGOCYTIC CUP FORMATION%REACTOME%R-HSA-2029482.2	REGULATION OF ACTIN DYNAMICS FOR PHAGOCYTIC CUP FORMATION%REACTOME%R-HSA-2029482.2		23	0.45270458	1.4236085	0.062228654	0.29225698	1.0	603	tags=43%, list=28%, signal=60%	
WNT%IOB%WNT	WNT%IOB%WNT		16	0.48273897	1.4219642	0.09756097	0.29288048	1.0	296	tags=31%, list=14%, signal=36%	
SIGNALING BY NGF%REACTOME DATABASE ID RELEASE 60%166520	SIGNALING BY NGF%REACTOME DATABASE ID RELEASE 60%166520		105	0.33120748	1.4195596	0.028402368	0.2944294	1.0	551	tags=33%, list=26%, signal=43%	
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK		18	0.46846452	1.419249	0.07522124	0.29182324	1.0	514	tags=56%, list=24%, signal=72%	
COREGULATION OF ANDROGEN RECEPTOR ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%COREGULATION OF ANDROGEN RECEPTOR ACTIVITY	COREGULATION OF ANDROGEN RECEPTOR ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%COREGULATION OF ANDROGEN RECEPTOR ACTIVITY		15	0.49359608	1.4177607	0.07941177	0.2917688	1.0	401	tags=47%, list=19%, signal=57%	
ER TO GOLGI ANTEROGRADE TRANSPORT%REACTOME%R-HSA-199977.3	ER TO GOLGI ANTEROGRADE TRANSPORT%REACTOME%R-HSA-199977.3		57	0.3633143	1.4139163	0.047493402	0.2963421	1.0	533	tags=40%, list=25%, signal=52%	
CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016	CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016		40	0.38175553	1.409341	0.062415197	0.3023042	1.0	736	tags=52%, list=34%, signal=78%	
TRANSMISSION ACROSS CHEMICAL SYNAPSES%REACTOME DATABASE ID RELEASE 60%112315	TRANSMISSION ACROSS CHEMICAL SYNAPSES%REACTOME DATABASE ID RELEASE 60%112315		37	0.3961685	1.4080797	0.06205924	0.30182528	1.0	517	tags=38%, list=24%, signal=49%	
EGFR1%NETPATH%EGFR1	EGFR1%NETPATH%EGFR1		135	0.31531844	1.4068516	0.01880141	0.30138186	1.0	651	tags=40%, list=30%, signal=54%	
PID_ERBB1_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ERBB1_DOWNSTREAM_PATHWAY	PID_ERBB1_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ERBB1_DOWNSTREAM_PATHWAY		35	0.392	1.40591	0.07336956	0.30036002	1.0	528	tags=37%, list=25%, signal=48%	
FCGAMMA RECEPTOR (FCGR) DEPENDENT PHAGOCYTOSIS%REACTOME DATABASE ID RELEASE 60%2029480	FCGAMMA RECEPTOR (FCGR) DEPENDENT PHAGOCYTOSIS%REACTOME DATABASE ID RELEASE 60%2029480		25	0.4296716	1.4054441	0.087267525	0.29832986	1.0	603	tags=44%, list=28%, signal=61%	
PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY	PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY		24	0.42518324	1.4042594	0.093294464	0.2978944	1.0	503	tags=33%, list=23%, signal=43%	
PLATELET HOMEOSTASIS%REACTOME DATABASE ID RELEASE 60%418346	PLATELET HOMEOSTASIS%REACTOME DATABASE ID RELEASE 60%418346		16	0.48154688	1.40158	0.093704246	0.30037206	1.0	832	tags=69%, list=39%, signal=112%	
PNAT%PANTHER PATHWAY%P05912	PNAT%PANTHER PATHWAY%P05912		16	0.48293713	1.3991424	0.11210762	0.30202553	1.0	291	tags=44%, list=14%, signal=50%	
IL6%NETPATH%IL6	IL6%NETPATH%IL6		15	0.4873117	1.3973905	0.09848485	0.30232763	1.0	362	tags=40%, list=17%, signal=48%	
AXON GUIDANCE%REACTOME DATABASE ID RELEASE 60%422475	AXON GUIDANCE%REACTOME DATABASE ID RELEASE 60%422475		160	0.30437797	1.393069	0.020431329	0.3080917	1.0	552	tags=33%, list=26%, signal=41%	
COPI-INDEPENDENT GOLGI-TO-ER RETROGRADE TRAFFIC%REACTOME DATABASE ID RELEASE 60%6811436	COPI-INDEPENDENT GOLGI-TO-ER RETROGRADE TRAFFIC%REACTOME DATABASE ID RELEASE 60%6811436		16	0.48568907	1.3913457	0.089686096	0.30845422	1.0	527	tags=56%, list=25%, signal=74%	
INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 60%913531	INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 60%913531		38	0.39068234	1.390601	0.0738255	0.30708334	1.0	270	tags=26%, list=13%, signal=30%	
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY		18	0.46846443	1.3899503	0.08982036	0.30555815	1.0	514	tags=56%, list=24%, signal=72%	
SIGNALING BY RHO GTPASES%REACTOME%R-HSA-194315.3	SIGNALING BY RHO GTPASES%REACTOME%R-HSA-194315.3		103	0.32194787	1.3880248	0.03533569	0.30640545	1.0	600	tags=36%, list=28%, signal=47%	
HALLMARK_APOPTOSIS%MSIGDB_C2%HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS%MSIGDB_C2%HALLMARK_APOPTOSIS		36	0.39147532	1.3857596	0.0744382	0.30803925	1.0	466	tags=39%, list=22%, signal=49%	
RAB GERANYLGERANYLATION%REACTOME DATABASE ID RELEASE 60%8873719	RAB GERANYLGERANYLATION%REACTOME DATABASE ID RELEASE 60%8873719		19	0.45053518	1.3780196	0.10856269	0.32052726	1.0	682	tags=53%, list=32%, signal=76%	
CLASS I MHC MEDIATED ANTIGEN PROCESSING & PRESENTATION%REACTOME%R-HSA-983169.3	CLASS I MHC MEDIATED ANTIGEN PROCESSING & PRESENTATION%REACTOME%R-HSA-983169.3		69	0.34517282	1.3741018	0.052238807	0.3254113	1.0	484	tags=32%, list=23%, signal=40%	
GLYCOLYSIS%REACTOME DATABASE ID RELEASE 60%70171	GLYCOLYSIS%REACTOME DATABASE ID RELEASE 60%70171		21	0.4339913	1.3739806	0.086181276	0.32274207	1.0	570	tags=48%, list=27%, signal=64%	
VESICLE-MEDIATED TRANSPORT%REACTOME%R-HSA-5653656.1	VESICLE-MEDIATED TRANSPORT%REACTOME%R-HSA-5653656.1		183	0.2946986	1.3725379	0.020022247	0.323009	1.0	551	tags=33%, list=26%, signal=40%	
INNATE IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 60%168249	INNATE IMMUNE SYSTEM%REACTOME DATABASE ID RELEASE 60%168249		269	0.28699592	1.3677547	0.019672131	0.32953653	1.0	698	tags=40%, list=33%, signal=52%	
COOPERATION OF PDCL (PHLP1) AND TRIC CCT IN G-PROTEIN BETA FOLDING%REACTOME%R-HSA-6814122.2	COOPERATION OF PDCL (PHLP1) AND TRIC CCT IN G-PROTEIN BETA FOLDING%REACTOME%R-HSA-6814122.2		21	0.4275404	1.3653766	0.10638298	0.33174914	1.0	552	tags=48%, list=26%, signal=64%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE		18	0.45107228	1.3620402	0.10930576	0.33563828	1.0	411	tags=39%, list=19%, signal=48%	
INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031	INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031		47	0.36385795	1.3619041	0.06282722	0.3331488	1.0	542	tags=43%, list=25%, signal=56%	
E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION	E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E-CADHERIN SIGNALING IN THE NASCENT ADHERENS JUNCTION		16	0.47916612	1.3586212	0.114413075	0.33763933	1.0	736	tags=63%, list=34%, signal=94%	
POST-TRANSLATIONAL PROTEIN MODIFICATION%REACTOME DATABASE ID RELEASE 60%597592	POST-TRANSLATIONAL PROTEIN MODIFICATION%REACTOME DATABASE ID RELEASE 60%597592		272	0.2779507	1.3456414	0.018220793	0.36218295	1.0	685	tags=38%, list=32%, signal=48%	
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY		15	0.46212888	1.3451098	0.11144131	0.36021316	1.0	313	tags=33%, list=15%, signal=39%	
ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING	ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING		36	0.3753947	1.3410239	0.10053619	0.36604866	1.0	528	tags=36%, list=25%, signal=47%	
BCR%NETPATH%BCR	BCR%NETPATH%BCR		23	0.4119243	1.3406271	0.13682678	0.36398965	1.0	317	tags=30%, list=15%, signal=35%	
HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP		16	0.45276424	1.3348266	0.12724552	0.3742821	1.0	619	tags=56%, list=29%, signal=78%	
ANCHORING OF THE BASAL BODY TO THE PLASMA MEMBRANE%REACTOME%R-HSA-5620912.2	ANCHORING OF THE BASAL BODY TO THE PLASMA MEMBRANE%REACTOME%R-HSA-5620912.2		30	0.39496225	1.3345108	0.114285715	0.37197837	1.0	344	tags=30%, list=16%, signal=35%	
NEURONAL SYSTEM%REACTOME DATABASE ID RELEASE 60%112316	NEURONAL SYSTEM%REACTOME DATABASE ID RELEASE 60%112316		50	0.3444857	1.3336167	0.083333336	0.37114304	1.0	517	tags=36%, list=24%, signal=46%	
G ALPHA (I) SIGNALLING EVENTS%REACTOME%R-HSA-418594.3	G ALPHA (I) SIGNALLING EVENTS%REACTOME%R-HSA-418594.3		15	0.46190062	1.3332119	0.13421829	0.36914855	1.0	602	tags=53%, list=28%, signal=74%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS		15	0.46212882	1.3316119	0.13251156	0.36953163	1.0	313	tags=33%, list=15%, signal=39%	
RECRUITMENT AND ATM-MEDIATED PHOSPHORYLATION OF REPAIR AND SIGNALING PROTEINS AT DNA DOUBLE STRAND BREAKS%REACTOME DATABASE ID RELEASE 60%5693565	RECRUITMENT AND ATM-MEDIATED PHOSPHORYLATION OF REPAIR AND SIGNALING PROTEINS AT DNA DOUBLE STRAND BREAKS%REACTOME DATABASE ID RELEASE 60%5693565		17	0.4529961	1.3301173	0.13871951	0.36994562	1.0	131	tags=18%, list=6%, signal=19%	
TCR%NETPATH%TCR	TCR%NETPATH%TCR		68	0.32597092	1.329274	0.07845579	0.36918026	1.0	761	tags=53%, list=35%, signal=79%	
SIGNALING BY WNT%REACTOME%R-HSA-195721.3	SIGNALING BY WNT%REACTOME%R-HSA-195721.3		85	0.31338927	1.322797	0.077300616	0.38150626	1.0	696	tags=41%, list=32%, signal=59%	
CILIUM ASSEMBLY%REACTOME DATABASE ID RELEASE 60%5617833	CILIUM ASSEMBLY%REACTOME DATABASE ID RELEASE 60%5617833		50	0.35113782	1.3221465	0.09296149	0.38004032	1.0	573	tags=36%, list=27%, signal=48%	
ASPARAGINE N-LINKED GLYCOSYLATION%REACTOME DATABASE ID RELEASE 60%446203	ASPARAGINE N-LINKED GLYCOSYLATION%REACTOME DATABASE ID RELEASE 60%446203		79	0.3183918	1.32129	0.06993865	0.37896177	1.0	533	tags=35%, list=25%, signal=45%	
CARBOHYDRATE METABOLISM%REACTOME DATABASE ID RELEASE 60%71387	CARBOHYDRATE METABOLISM%REACTOME DATABASE ID RELEASE 60%71387		74	0.3226125	1.3174932	0.080882356	0.3847713	1.0	696	tags=43%, list=32%, signal=62%	
L1CAM INTERACTIONS%REACTOME DATABASE ID RELEASE 60%373760	L1CAM INTERACTIONS%REACTOME DATABASE ID RELEASE 60%373760		45	0.35208684	1.3158616	0.115485564	0.38557658	1.0	552	tags=42%, list=26%, signal=56%	
DNA DOUBLE STRAND BREAK RESPONSE%REACTOME%R-HSA-5693606.1	DNA DOUBLE STRAND BREAK RESPONSE%REACTOME%R-HSA-5693606.1		17	0.4529961	1.3154781	0.14430015	0.38357577	1.0	131	tags=18%, list=6%, signal=19%	
BIOCARTA_MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_MAPK_PATHWAY	BIOCARTA_MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_MAPK_PATHWAY		16	0.45502284	1.3148173	0.12345679	0.3821575	1.0	317	tags=38%, list=15%, signal=44%	
CLATHRIN-MEDIATED ENDOCYTOSIS%REACTOME DATABASE ID RELEASE 60%8856828	CLATHRIN-MEDIATED ENDOCYTOSIS%REACTOME DATABASE ID RELEASE 60%8856828		41	0.36011213	1.3120204	0.10408432	0.38515994	1.0	695	tags=46%, list=32%, signal=67%	
SIGNALING BY PDGF%REACTOME%R-HSA-186797.3	SIGNALING BY PDGF%REACTOME%R-HSA-186797.3		87	0.31515527	1.3115745	0.07936508	0.38338053	1.0	533	tags=32%, list=25%, signal=41%	
SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2	SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2		25	0.40054932	1.3087642	0.13544668	0.38651553	1.0	503	tags=32%, list=23%, signal=41%	
COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME%R-HSA-6807878.1	COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME%R-HSA-6807878.1		42	0.35733148	1.3073456	0.10857909	0.38691548	1.0	533	tags=38%, list=25%, signal=50%	
TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION%REACTOME DATABASE ID RELEASE 60%948021	TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION%REACTOME DATABASE ID RELEASE 60%948021		60	0.3331062	1.3034059	0.103174604	0.39268225	1.0	533	tags=38%, list=25%, signal=50%	
UB-SPECIFIC PROCESSING PROTEASES%REACTOME DATABASE ID RELEASE 60%5689880	UB-SPECIFIC PROCESSING PROTEASES%REACTOME DATABASE ID RELEASE 60%5689880		58	0.3299574	1.3020138	0.103896104	0.39293548	1.0	309	tags=22%, list=14%, signal=25%	
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012		16	0.44735396	1.2995571	0.15503876	0.3960008	1.0	630	tags=44%, list=29%, signal=61%	
NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS		19	0.42477357	1.2970695	0.14181286	0.39875028	1.0	519	tags=47%, list=24%, signal=62%	
PID_AJDISS_2PATHWAY%MSIGDB_C2%PID_AJDISS_2PATHWAY	PID_AJDISS_2PATHWAY%MSIGDB_C2%PID_AJDISS_2PATHWAY		18	0.42702818	1.2851391	0.14914773	0.4235667	1.0	594	tags=44%, list=28%, signal=61%	
GOLGI-TO-ER RETROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 60%8856688	GOLGI-TO-ER RETROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 60%8856688		48	0.33962262	1.2846216	0.12890625	0.42189902	1.0	610	tags=42%, list=28%, signal=57%	
REGULATION OF TP53 ACTIVITY%REACTOME%R-HSA-5633007.2	REGULATION OF TP53 ACTIVITY%REACTOME%R-HSA-5633007.2		24	0.39844376	1.2836013	0.1497093	0.42137623	1.0	589	tags=46%, list=27%, signal=62%	
ORGANELLE BIOGENESIS AND MAINTENANCE%REACTOME DATABASE ID RELEASE 60%1852241	ORGANELLE BIOGENESIS AND MAINTENANCE%REACTOME DATABASE ID RELEASE 60%1852241		73	0.31219363	1.2814075	0.10227273	0.4236076	1.0	538	tags=30%, list=25%, signal=39%	
HALLMARK_MITOTIC_SPINDLE%MSIGDB_C2%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE%MSIGDB_C2%HALLMARK_MITOTIC_SPINDLE		67	0.31776342	1.2796853	0.11327649	0.4250283	1.0	329	tags=25%, list=15%, signal=29%	
CENTROSOME MATURATION%REACTOME DATABASE ID RELEASE 60%380287	CENTROSOME MATURATION%REACTOME DATABASE ID RELEASE 60%380287		30	0.37155458	1.2793809	0.14742698	0.42301604	1.0	573	tags=37%, list=27%, signal=49%	
NGF SIGNALLING VIA TRKA FROM THE PLASMA MEMBRANE%REACTOME%R-HSA-187037.1	NGF SIGNALLING VIA TRKA FROM THE PLASMA MEMBRANE%REACTOME%R-HSA-187037.1		92	0.29898688	1.2709664	0.10539216	0.43955532	1.0	551	tags=32%, list=26%, signal=41%	
CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME%R-HSA-1280215.2	CYTOKINE SIGNALING IN IMMUNE SYSTEM%REACTOME%R-HSA-1280215.2		131	0.28374442	1.2692171	0.091647334	0.44072387	1.0	318	tags=21%, list=15%, signal=24%	
COPII (COAT PROTEIN 2) MEDIATED VESICLE TRANSPORT%REACTOME DATABASE ID RELEASE 60%204005	COPII (COAT PROTEIN 2) MEDIATED VESICLE TRANSPORT%REACTOME DATABASE ID RELEASE 60%204005		21	0.39938357	1.2689663	0.17429838	0.43850306	1.0	331	tags=33%, list=15%, signal=39%	
RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES%REACTOME%R-HSA-380270.1	RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES%REACTOME%R-HSA-380270.1		30	0.37155458	1.267841	0.17614424	0.43851802	1.0	573	tags=37%, list=27%, signal=49%	
TRANS-GOLGI NETWORK VESICLE BUDDING%REACTOME%R-HSA-199992.2	TRANS-GOLGI NETWORK VESICLE BUDDING%REACTOME%R-HSA-199992.2		21	0.40256563	1.2578292	0.17385058	0.45941034	1.0	310	tags=29%, list=14%, signal=33%	
INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME%R-HSA-6811442.1	INTRA-GOLGI AND RETROGRADE GOLGI-TO-ER TRAFFIC%REACTOME%R-HSA-6811442.1		58	0.3194963	1.2571828	0.13797635	0.45813474	1.0	610	tags=40%, list=28%, signal=54%	
CLATHRIN DERIVED VESICLE BUDDING%REACTOME%R-HSA-421837.1	CLATHRIN DERIVED VESICLE BUDDING%REACTOME%R-HSA-421837.1		21	0.40256563	1.24997	0.18274854	0.47300708	1.0	310	tags=29%, list=14%, signal=33%	
POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY	POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY		18	0.42702818	1.2486304	0.1988218	0.47355407	1.0	594	tags=44%, list=28%, signal=61%	
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES%MSIGDB_C2%SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES	SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES%MSIGDB_C2%SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES		18	0.4086808	1.2480843	0.21083455	0.47197655	1.0	503	tags=39%, list=23%, signal=50%	
MITOTIC PROPHASE%REACTOME DATABASE ID RELEASE 60%68875	MITOTIC PROPHASE%REACTOME DATABASE ID RELEASE 60%68875		30	0.3618051	1.2463847	0.18457301	0.47315195	1.0	223	tags=13%, list=10%, signal=15%	
PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY	PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY		45	0.33330336	1.2444397	0.15921053	0.4749587	1.0	317	tags=27%, list=15%, signal=31%	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY%MSIGDB_C2%HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY%MSIGDB_C2%HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY		15	0.42623928	1.2397239	0.20845921	0.48371083	1.0	214	tags=20%, list=10%, signal=22%	
CHAPERONIN-MEDIATED PROTEIN FOLDING%REACTOME DATABASE ID RELEASE 60%390466	CHAPERONIN-MEDIATED PROTEIN FOLDING%REACTOME DATABASE ID RELEASE 60%390466		38	0.34494793	1.2368338	0.17945206	0.48801473	1.0	552	tags=37%, list=26%, signal=49%	
GASTRIN-CREB SIGNALLING PATHWAY VIA PKC AND MAPK%REACTOME%R-HSA-881907.1	GASTRIN-CREB SIGNALLING PATHWAY VIA PKC AND MAPK%REACTOME%R-HSA-881907.1		83	0.2927983	1.232828	0.1426844	0.4951092	1.0	325	tags=22%, list=15%, signal=25%	
PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY		45	0.33330327	1.2312772	0.17934783	0.4960837	1.0	317	tags=27%, list=15%, signal=31%	
TOLL-LIKE RECEPTORS CASCADES%REACTOME DATABASE ID RELEASE 60%168898	TOLL-LIKE RECEPTORS CASCADES%REACTOME DATABASE ID RELEASE 60%168898		27	0.37006035	1.2276835	0.18653576	0.5017718	1.0	698	tags=44%, list=33%, signal=65%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS		23	0.3776022	1.220457	0.2137834	0.5161285	1.0	519	tags=39%, list=24%, signal=51%	
NEUTROPHIL DEGRANULATION%REACTOME DATABASE ID RELEASE 60%6798695	NEUTROPHIL DEGRANULATION%REACTOME DATABASE ID RELEASE 60%6798695		144	0.26987422	1.2152047	0.13651878	0.5269088	1.0	687	tags=40%, list=32%, signal=55%	
ANTIGEN PROCESSING: UBIQUITINATION & PROTEASOME DEGRADATION%REACTOME%R-HSA-983168.2	ANTIGEN PROCESSING: UBIQUITINATION & PROTEASOME DEGRADATION%REACTOME%R-HSA-983168.2		57	0.31162843	1.2150598	0.17992178	0.5242329	1.0	523	tags=32%, list=24%, signal=41%	
G2 M DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 60%69473	G2 M DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 60%69473		23	0.38215423	1.2140765	0.22043796	0.5237436	1.0	154	tags=17%, list=7%, signal=19%	
RHO GTPASE EFFECTORS%REACTOME DATABASE ID RELEASE 60%195258	RHO GTPASE EFFECTORS%REACTOME DATABASE ID RELEASE 60%195258		89	0.2843815	1.2131197	0.17375	0.52299094	1.0	600	tags=34%, list=28%, signal=45%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.3	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.3		18	0.4040853	1.2113949	0.23029366	0.5240666	1.0	334	tags=28%, list=16%, signal=33%	
TNFALPHA%NETPATH%TNFALPHA	TNFALPHA%NETPATH%TNFALPHA		77	0.29436207	1.2104818	0.1740196	0.52348673	1.0	445	tags=25%, list=21%, signal=30%	
ION TRANSPORT BY P-TYPE ATPASES%REACTOME DATABASE ID RELEASE 60%936837	ION TRANSPORT BY P-TYPE ATPASES%REACTOME DATABASE ID RELEASE 60%936837		17	0.39950645	1.2103689	0.22238164	0.5207954	1.0	211	tags=24%, list=10%, signal=26%	
FC EPSILON RECEPTOR (FCERI) SIGNALING%REACTOME%R-HSA-2454202.1	FC EPSILON RECEPTOR (FCERI) SIGNALING%REACTOME%R-HSA-2454202.1		87	0.28456512	1.2074186	0.18192919	0.52505225	1.0	533	tags=31%, list=25%, signal=40%	
CELL CYCLE%REACTOME DATABASE ID RELEASE 60%1640170	CELL CYCLE%REACTOME DATABASE ID RELEASE 60%1640170		158	0.2658642	1.2062247	0.125	0.5252992	1.0	223	tags=16%, list=10%, signal=16%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY		23	0.37760228	1.2007658	0.24480712	0.5360024	1.0	519	tags=39%, list=24%, signal=51%	
HALLMARK_COMPLEMENT%MSIGDB_C2%HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT%MSIGDB_C2%HALLMARK_COMPLEMENT		33	0.338652	1.1921824	0.22594142	0.55487996	1.0	788	tags=55%, list=37%, signal=85%	
INTERLEUKIN-1 SIGNALING%REACTOME DATABASE ID RELEASE 60%446652	INTERLEUKIN-1 SIGNALING%REACTOME DATABASE ID RELEASE 60%446652		40	0.3302978	1.1902834	0.21544716	0.55691326	1.0	309	tags=25%, list=14%, signal=29%	
SIGNALING BY EGFR%REACTOME%R-HSA-177929.1	SIGNALING BY EGFR%REACTOME%R-HSA-177929.1		87	0.28235018	1.1891528	0.17794487	0.55666476	1.0	503	tags=29%, list=23%, signal=36%	
